"","x"
"454",196411986
"455",196009097
"456",195607405
"457",195206891
"458",194807637
"459",194409559
"460",194012678
"461",193617013
"462",193222493
"463",192829140
"464",192436993
"465",192045975
"466",191656194
"467",191267515
"468",190879983
"469",190493565
"470",190108354
"471",189724234
"472",189341247
"473",188959365
"474",188578636
"475",188199025
"476",187820487
"477",187443091
"478",187066787
"479",186691550
"480",186317420
"481",185944375
"482",185572423
"483",185201517
"484",184831720
"485",184462922
"486",184095232
"487",183728598
"488",183363023
"489",182998483
"490",182634977
"491",182272525
"492",181911061
"493",181550677
"494",181191293
"495",180832916
"496",180475554
"497",180119260
"498",179763924
"499",179409552
"500",179056252
"501",178703896
"502",178352565
"503",178002163
"504",177652796
"505",177304404
"506",176956963
"507",176610504
"508",176264985
"509",175920411
"510",175576855
"511",175234227
"512",174892532
"513",174551741
"514",174211931
"515",173873080
"516",173535146
"517",173198119
"518",172862038
"519",172526862
"520",172192628
"521",171859279
"522",171526868
"523",171195339
"524",170864682
"525",170534987
"526",170206123
"527",169878177
"528",169551151
"529",169224967
"530",168899639
"531",168575237
"532",168251702
"533",167929013
"534",167607212
"535",167286251
"536",166966176
"537",166646936
"538",166328517
"539",166010973
"540",165694324
"541",165378434
"542",165063409
"543",164749259
"544",164435914
"545",164123379
"546",163811658
"547",163500802
"548",163190718
"549",162881488
"550",162573086
"551",162265423
"552",161958618
"553",161652613
"554",161347361
"555",161042938
"556",160739309
"557",160436495
"558",160134431
"559",159833166
"560",159532668
"561",159232949
"562",158934025
"563",158635856
"564",158338443
"565",158041831
"566",157745960
"567",157450841
"568",157156485
"569",156862886
"570",156570021
"571",156277939
"572",155986579
"573",155695946
"574",155406098
"575",155116949
"576",154828518
"577",154540868
"578",154253947
"579",153967706
"580",153682202
"581",153397420
"582",153113374
"583",152830013
"584",152547415
"585",152265469
"586",151984295
"587",151703775
"588",151423948
"589",151144839
"590",150866425
"591",150588724
"592",150311701
"593",150035360
"594",149759725
"595",149484760
"596",149210446
"597",148936868
"598",148663918
"599",148391676
"600",148120097
"601",147849154
"602",147578913
"603",147309351
"604",147040431
"605",146772158
"606",146504554
"607",146237614
"608",145971285
"609",145705640
"610",145440662
"611",145176286
"612",144912589
"613",144649530
"614",144387084
"615",144125309
"616",143864119
"617",143603592
"618",143343724
"619",143084425
"620",142825796
"621",142567756
"622",142310367
"623",142053550
"624",141797419
"625",141541834
"626",141286902
"627",141032555
"628",140778847
"629",140525733
"630",140273229
"631",140021301
"632",139770008
"633",139519293
"634",139269161
"635",139019621
"636",138770697
"637",138522355
"638",138274591
"639",138027391
"640",137780810
"641",137534816
"642",137289364
"643",137044524
"644",136800258
"645",136556548
"646",136313384
"647",136070811
"648",135828815
"649",135587397
"650",135346518
"651",135106234
"652",134866466
"653",134627306
"654",134388663
"655",134150583
"656",133913053
"657",133676079
"658",133439644
"659",133203784
"660",132968450
"661",132733663
"662",132499382
"663",132265680
"664",132032509
"665",131799886
"666",131567776
"667",131336221
"668",131105144
"669",130874648
"670",130644681
"671",130415223
"672",130186290
"673",129957865
"674",129729978
"675",129502597
"676",129275738
"677",129049425
"678",128823589
"679",128598257
"680",128373467
"681",128149196
"682",127925411
"683",127702101
"684",127479336
"685",127257058
"686",127035273
"687",126814026
"688",126593222
"689",126372934
"690",126153179
"691",125933881
"692",125715073
"693",125496761
"694",125278919
"695",125061557
"696",124844704
"697",124628357
"698",124412442
"699",124197037
"700",123982097
"701",123767656
"702",123553670
"703",123340158
"704",123127130
"705",122914568
"706",122702514
"707",122490872
"708",122279718
"709",122069007
"710",121858782
"711",121649031
"712",121439735
"713",121230903
"714",121022525
"715",120814561
"716",120607100
"717",120400080
"718",120193508
"719",119987394
"720",119781767
"721",119576549
"722",119371778
"723",119167444
"724",118963550
"725",118760142
"726",118557147
"727",118354567
"728",118152464
"729",117950799
"730",117749547
"731",117548738
"732",117348359
"733",117148409
"734",116948909
"735",116749848
"736",116551169
"737",116352954
"738",116155176
"739",115957794
"740",115760821
"741",115564312
"742",115368211
"743",115172512
"744",114977252
"745",114782408
"746",114587948
"747",114393943
"748",114200331
"749",114007128
"750",113814347
"751",113621970
"752",113430000
"753",113238458
"754",113047282
"755",112856554
"756",112666185
"757",112476258
"758",112286699
"759",112097554
"760",111908806
"761",111720451
"762",111532522
"763",111344959
"764",111157788
"765",110971028
"766",110784656
"767",110598674
"768",110413079
"769",110227890
"770",110043071
"771",109858643
"772",109674600
"773",109490940
"774",109307635
"775",109124764
"776",108942231
"777",108760075
"778",108578334
"779",108396956
"780",108215950
"781",108035320
"782",107855071
"783",107675167
"784",107495672
"785",107316543
"786",107137783
"787",106959351
"788",106781347
"789",106603663
"790",106426380
"791",106249423
"792",106072886
"793",105896665
"794",105720805
"795",105545341
"796",105370211
"797",105195439
"798",105021016
"799",104846975
"800",104673272
"801",104499922
"802",104326966
"803",104154320
"804",103982030
"805",103810118
"806",103638516
"807",103467263
"808",103296402
"809",103125863
"810",102955656
"811",102785833
"812",102616304
"813",102447147
"814",102278343
"815",102109840
"816",101941729
"817",101773915
"818",101606469
"819",101439349
"820",101272535
"821",101106091
"822",100939973
"823",100774189
"824",100608747
"825",100443637
"826",100278831
"827",100114364
"828",99950266
"829",99786465
"830",99622976
"831",99459839
"832",99297028
"833",99134510
"834",98972352
"835",98810491
"836",98648965
"837",98487786
"838",98326910
"839",98166313
"840",98006093
"841",97846138
"842",97686541
"843",97527265
"844",97368262
"845",97209613
"846",97051264
"847",96893224
"848",96735475
"849",96578062
"850",96420959
"851",96264167
"852",96107684
"853",95951505
"854",95795635
"855",95640093
"856",95484818
"857",95329860
"858",95175227
"859",95020858
"860",94866832
"861",94713074
"862",94559641
"863",94406490
"864",94253639
"865",94101088
"866",93948853
"867",93796884
"868",93645211
"869",93493854
"870",93342795
"871",93192032
"872",93041542
"873",92891365
"874",92741444
"875",92591852
"876",92442524
"877",92293524
"878",92144774
"879",91996315
"880",91848148
"881",91700271
"882",91552680
"883",91405373
"884",91258354
"885",91111621
"886",90965135
"887",90818965
"888",90673077
"889",90527468
"890",90382112
"891",90237068
"892",90092265
"893",89947780
"894",89803552
"895",89659620
"896",89515928
"897",89372511
"898",89229401
"899",89086561
"900",88943966
"901",88801674
"902",88659616
"903",88517871
"904",88376358
"905",88235145
"906",88094195
"907",87953475
"908",87813073
"909",87672928
"910",87533033
"911",87393400
"912",87254042
"913",87114930
"914",86976109
"915",86837514
"916",86699221
"917",86561161
"918",86423375
"919",86285849
"920",86148580
"921",86011576
"922",85874832
"923",85738307
"924",85602089
"925",85466094
"926",85330354
"927",85194914
"928",85059691
"929",84924726
"930",84789985
"931",84655529
"932",84521333
"933",84387389
"934",84253663
"935",84120226
"936",83987003
"937",83854063
"938",83721341
"939",83588868
"940",83456645
"941",83324671
"942",83192963
"943",83061480
"944",82930246
"945",82799256
"946",82668512
"947",82538010
"948",82407729
"949",82277715
"950",82147909
"951",82018397
"952",81889066
"953",81760003
"954",81631181
"955",81502615
"956",81374252
"957",81246129
"958",81118271
"959",80990625
"960",80863230
"961",80736050
"962",80609128
"963",80482391
"964",80355952
"965",80229689
"966",80103683
"967",79977925
"968",79852366
"969",79727070
"970",79601981
"971",79477124
"972",79352497
"973",79228085
"974",79103915
"975",78979959
"976",78856256
"977",78732748
"978",78609494
"979",78486444
"980",78363630
"981",78241041
"982",78118669
"983",77996524
"984",77874604
"985",77752880
"986",77631415
"987",77510137
"988",77389073
"989",77268282
"990",77147643
"991",77027261
"992",76907119
"993",76787165
"994",76667408
"995",76547890
"996",76428611
"997",76309495
"998",76190653
"999",76071970
"1000",75953524
"1001",75835312
"1002",75717281
"1003",75599466
"1004",75481888
"1005",75364515
"1006",75247321
"1007",75130375
"1008",75013626
"1009",74897071
"1010",74780747
"1011",74664643
"1012",74548733
"1013",74433016
"1014",74317509
"1015",74202208
"1016",74087127
"1017",73972255
"1018",73857591
"1019",73743100
"1020",73628838
"1021",73514766
"1022",73400901
"1023",73287276
"1024",73173801
"1025",73060553
"1026",72947516
"1027",72834644
"1028",72721989
"1029",72609570
"1030",72497295
"1031",72385265
"1032",72273398
"1033",72161769
"1034",72050296
"1035",71939057
"1036",71827976
"1037",71717115
"1038",71606459
"1039",71495971
"1040",71385715
"1041",71275611
"1042",71165726
"1043",71056045
"1044",70946561
"1045",70837226
"1046",70728136
"1047",70619194
"1048",70510471
"1049",70401931
"1050",70293600
"1051",70185449
"1052",70077456
"1053",69969692
"1054",69862105
"1055",69754716
"1056",69647504
"1057",69540484
"1058",69433640
"1059",69326978
"1060",69220537
"1061",69114252
"1062",69008156
"1063",68902267
"1064",68796533
"1065",68691008
"1066",68585655
"1067",68480504
"1068",68375524
"1069",68270714
"1070",68166108
"1071",68061658
"1072",67957408
"1073",67853359
"1074",67749455
"1075",67645732
"1076",67542227
"1077",67438858
"1078",67335714
"1079",67232711
"1080",67129915
"1081",67027278
"1082",66924825
"1083",66822543
"1084",66720422
"1085",66618526
"1086",66516777
"1087",66415199
"1088",66313815
"1089",66212584
"1090",66111533
"1091",66010682
"1092",65909977
"1093",65809450
"1094",65709111
"1095",65608925
"1096",65508905
"1097",65409095
"1098",65309428
"1099",65209948
"1100",65110617
"1101",65011482
"1102",64912489
"1103",64813703
"1104",64715057
"1105",64616599
"1106",64518284
"1107",64420163
"1108",64322213
"1109",64224421
"1110",64126782
"1111",64029334
"1112",63932039
"1113",63834915
"1114",63737960
"1115",63641161
"1116",63544545
"1117",63448087
"1118",63351777
"1119",63255651
"1120",63159690
"1121",63063859
"1122",62968228
"1123",62872736
"1124",62777430
"1125",62682281
"1126",62587299
"1127",62492460
"1128",62397801
"1129",62303281
"1130",62208918
"1131",62114742
"1132",62020699
"1133",61926851
"1134",61833136
"1135",61739588
"1136",61646206
"1137",61552967
"1138",61459869
"1139",61366975
"1140",61274211
"1141",61181591
"1142",61089156
"1143",60996850
"1144",60904736
"1145",60812738
"1146",60720911
"1147",60629264
"1148",60537725
"1149",60446380
"1150",60355180
"1151",60264119
"1152",60173204
"1153",60082477
"1154",59991885
"1155",59901423
"1156",59811136
"1157",59721018
"1158",59631011
"1159",59541191
"1160",59451510
"1161",59361982
"1162",59272592
"1163",59183358
"1164",59094277
"1165",59005350
"1166",58916557
"1167",58827901
"1168",58739409
"1169",58651094
"1170",58562900
"1171",58474859
"1172",58386940
"1173",58299180
"1174",58211602
"1175",58124144
"1176",58036806
"1177",57949639
"1178",57862633
"1179",57775761
"1180",57689029
"1181",57602447
"1182",57515983
"1183",57429686
"1184",57343539
"1185",57257515
"1186",57171648
"1187",57085915
"1188",57000342
"1189",56914904
"1190",56829594
"1191",56744449
"1192",56659422
"1193",56574537
"1194",56489812
"1195",56405219
"1196",56320753
"1197",56236449
"1198",56152280
"1199",56068231
"1200",55984342
"1201",55900580
"1202",55816962
"1203",55733487
"1204",55650123
"1205",55566946
"1206",55483863
"1207",55400921
"1208",55318121
"1209",55235462
"1210",55152944
"1211",55070584
"1212",54988310
"1213",54906207
"1214",54824230
"1215",54742389
"1216",54660673
"1217",54579096
"1218",54497651
"1219",54416351
"1220",54335174
"1221",54254138
"1222",54173226
"1223",54092451
"1224",54011785
"1225",53931286
"1226",53850923
"1227",53770668
"1228",53690550
"1229",53610568
"1230",53530708
"1231",53450975
"1232",53371400
"1233",53291930
"1234",53212595
"1235",53133409
"1236",53054314
"1237",52975368
"1238",52896575
"1239",52817878
"1240",52739315
"1241",52660898
"1242",52582602
"1243",52504421
"1244",52426371
"1245",52348466
"1246",52270663
"1247",52193004
"1248",52115464
"1249",52038039
"1250",51960743
"1251",51883591
"1252",51806566
"1253",51729642
"1254",51652859
"1255",51576195
"1256",51499641
"1257",51423246
"1258",51346940
"1259",51270792
"1260",51194732
"1261",51118811
"1262",51043017
"1263",50967351
"1264",50891813
"1265",50816387
"1266",50741081
"1267",50665881
"1268",50590807
"1269",50515889
"1270",50441047
"1271",50366373
"1272",50291791
"1273",50217333
"1274",50142993
"1275",50068758
"1276",49994678
"1277",49920694
"1278",49846814
"1279",49773072
"1280",49699453
"1281",49625951
"1282",49552580
"1283",49479304
"1284",49406152
"1285",49333130
"1286",49260206
"1287",49187412
"1288",49114741
"1289",49042163
"1290",48969736
"1291",48897402
"1292",48825167
"1293",48753069
"1294",48681087
"1295",48609225
"1296",48537483
"1297",48465833
"1298",48394304
"1299",48322900
"1300",48251608
"1301",48180423
"1302",48109357
"1303",48038410
"1304",47967582
"1305",47896845
"1306",47826230
"1307",47755726
"1308",47685350
"1309",47615067
"1310",47544902
"1311",47474858
"1312",47404927
"1313",47335088
"1314",47265373
"1315",47195773
"1316",47126290
"1317",47056893
"1318",46987640
"1319",46918477
"1320",46849427
"1321",46780489
"1322",46711648
"1323",46642921
"1324",46574308
"1325",46505815
"1326",46437410
"1327",46369118
"1328",46300942
"1329",46232879
"1330",46164914
"1331",46097062
"1332",46029296
"1333",45961672
"1334",45894132
"1335",45826707
"1336",45759404
"1337",45692184
"1338",45625076
"1339",45558081
"1340",45491170
"1341",45424398
"1342",45357710
"1343",45291147
"1344",45224661
"1345",45158314
"1346",45092049
"1347",45025894
"1348",44959823
"1349",44893887
"1350",44828035
"1351",44762311
"1352",44696656
"1353",44631135
"1354",44565698
"1355",44500371
"1356",44435148
"1357",44370034
"1358",44305009
"1359",44240118
"1360",44175279
"1361",44110575
"1362",44045978
"1363",43981458
"1364",43917072
"1365",43852741
"1366",43788565
"1367",43724449
"1368",43660434
"1369",43596557
"1370",43532731
"1371",43469033
"1372",43405441
"1373",43341954
"1374",43278549
"1375",43215248
"1376",43152023
"1377",43088926
"1378",43025911
"1379",42963022
"1380",42900208
"1381",42837500
"1382",42774897
"1383",42712379
"1384",42649966
"1385",42587647
"1386",42525415
"1387",42463303
"1388",42401268
"1389",42339336
"1390",42277515
"1391",42215770
"1392",42154144
"1393",42092577
"1394",42031129
"1395",41969793
"1396",41908547
"1397",41847384
"1398",41786312
"1399",41725352
"1400",41664466
"1401",41603697
"1402",41542986
"1403",41482418
"1404",41421921
"1405",41361505
"1406",41301190
"1407",41240989
"1408",41180873
"1409",41120844
"1410",41060901
"1411",41001070
"1412",40941326
"1413",40881645
"1414",40822089
"1415",40762617
"1416",40703259
"1417",40643956
"1418",40584766
"1419",40525661
"1420",40466648
"1421",40407740
"1422",40348904
"1423",40290176
"1424",40231533
"1425",40172972
"1426",40114495
"1427",40056126
"1428",39997852
"1429",39939652
"1430",39881547
"1431",39823550
"1432",39765610
"1433",39707792
"1434",39650027
"1435",39592383
"1436",39534825
"1437",39477346
"1438",39419961
"1439",39362644
"1440",39305431
"1441",39248302
"1442",39191284
"1443",39134322
"1444",39077478
"1445",39020687
"1446",38964018
"1447",38907415
"1448",38850905
"1449",38794491
"1450",38738143
"1451",38681890
"1452",38625733
"1453",38569647
"1454",38513679
"1455",38457753
"1456",38401944
"1457",38346203
"1458",38290580
"1459",38234998
"1460",38179528
"1461",38124136
"1462",38068833
"1463",38013624
"1464",37958478
"1465",37903423
"1466",37848461
"1467",37793588
"1468",37738782
"1469",37684076
"1470",37629427
"1471",37574895
"1472",37520426
"1473",37466048
"1474",37411758
"1475",37357532
"1476",37303396
"1477",37249362
"1478",37195382
"1479",37141515
"1480",37087711
"1481",37033996
"1482",36980368
"1483",36926803
"1484",36873326
"1485",36819947
"1486",36766646
"1487",36713407
"1488",36660257
"1489",36607192
"1490",36554216
"1491",36501300
"1492",36448496
"1493",36395753
"1494",36343095
"1495",36290499
"1496",36238014
"1497",36185591
"1498",36133252
"1499",36080974
"1500",36028804
"1501",35976696
"1502",35924678
"1503",35872741
"1504",35820861
"1505",35769079
"1506",35717381
"1507",35665742
"1508",35614201
"1509",35562733
"1510",35511325
"1511",35460012
"1512",35408791
"1513",35357619
"1514",35306543
"1515",35255552
"1516",35204607
"1517",35153758
"1518",35102995
"1519",35052301
"1520",35001670
"1521",34951148
"1522",34900685
"1523",34850279
"1524",34799982
"1525",34749742
"1526",34699586
"1527",34649487
"1528",34599503
"1529",34549548
"1530",34499710
"1531",34449930
"1532",34400221
"1533",34350580
"1534",34301020
"1535",34251552
"1536",34202155
"1537",34152813
"1538",34103566
"1539",34054391
"1540",34005279
"1541",33956250
"1542",33907275
"1543",33858382
"1544",33809593
"1545",33760835
"1546",33712182
"1547",33663586
"1548",33615077
"1549",33566641
"1550",33518266
"1551",33469971
"1552",33421730
"1553",33373593
"1554",33325510
"1555",33277484
"1556",33229567
"1557",33181696
"1558",33133911
"1559",33086196
"1560",33038543
"1561",32990967
"1562",32943469
"1563",32896023
"1564",32848661
"1565",32801377
"1566",32754165
"1567",32707010
"1568",32659927
"1569",32612926
"1570",32565987
"1571",32519127
"1572",32472319
"1573",32425616
"1574",32378944
"1575",32332368
"1576",32285850
"1577",32239410
"1578",32193041
"1579",32146724
"1580",32100484
"1581",32054320
"1582",32008225
"1583",31962195
"1584",31916239
"1585",31870360
"1586",31824525
"1587",31778774
"1588",31733090
"1589",31687482
"1590",31641925
"1591",31596451
"1592",31551048
"1593",31505688
"1594",31460410
"1595",31415208
"1596",31370072
"1597",31324993
"1598",31279982
"1599",31235052
"1600",31190189
"1601",31145376
"1602",31100639
"1603",31055974
"1604",31011375
"1605",30966834
"1606",30922366
"1607",30877963
"1608",30833617
"1609",30789360
"1610",30745143
"1611",30701008
"1612",30656921
"1613",30612931
"1614",30568989
"1615",30525096
"1616",30481288
"1617",30437540
"1618",30393853
"1619",30350246
"1620",30306702
"1621",30263205
"1622",30219780
"1623",30176426
"1624",30133143
"1625",30089907
"1626",30046756
"1627",30003662
"1628",29960615
"1629",29917649
"1630",29874730
"1631",29831906
"1632",29789116
"1633",29746409
"1634",29703760
"1635",29661168
"1636",29618623
"1637",29576170
"1638",29533776
"1639",29491425
"1640",29449150
"1641",29406946
"1642",29364811
"1643",29322727
"1644",29280685
"1645",29238735
"1646",29196834
"1647",29155001
"1648",29113216
"1649",29071508
"1650",29029862
"1651",28988264
"1652",28946733
"1653",28905270
"1654",28863875
"1655",28822526
"1656",28781246
"1657",28740034
"1658",28698862
"1659",28657761
"1660",28616734
"1661",28575746
"1662",28534832
"1663",28493980
"1664",28453195
"1665",28412456
"1666",28371783
"1667",28331156
"1668",28290611
"1669",28250113
"1670",28209666
"1671",28169301
"1672",28128988
"1673",28088735
"1674",28048524
"1675",28008387
"1676",27968309
"1677",27928299
"1678",27888337
"1679",27848429
"1680",27808595
"1681",27768802
"1682",27729092
"1683",27689432
"1684",27649806
"1685",27610269
"1686",27570782
"1687",27531352
"1688",27491975
"1689",27452652
"1690",27413387
"1691",27374194
"1692",27335042
"1693",27295971
"1694",27256949
"1695",27217960
"1696",27179067
"1697",27140205
"1698",27101414
"1699",27062658
"1700",27023988
"1701",26985359
"1702",26946771
"1703",26908260
"1704",26869821
"1705",26831414
"1706",26793056
"1707",26754776
"1708",26716543
"1709",26678378
"1710",26640262
"1711",26602189
"1712",26564176
"1713",26526227
"1714",26488337
"1715",26450492
"1716",26412710
"1717",26374988
"1718",26337312
"1719",26299702
"1720",26262127
"1721",26224616
"1722",26187166
"1723",26149780
"1724",26112434
"1725",26075149
"1726",26037905
"1727",26000719
"1728",25963599
"1729",25926535
"1730",25889515
"1731",25852555
"1732",25815658
"1733",25778806
"1734",25741987
"1735",25705252
"1736",25668557
"1737",25631915
"1738",25595342
"1739",25558807
"1740",25522320
"1741",25485909
"1742",25449530
"1743",25413217
"1744",25376959
"1745",25340739
"1746",25304579
"1747",25268480
"1748",25232419
"1749",25196439
"1750",25160475
"1751",25124592
"1752",25088749
"1753",25052958
"1754",25017212
"1755",24981539
"1756",24945905
"1757",24910329
"1758",24874798
"1759",24839319
"1760",24803877
"1761",24768514
"1762",24733189
"1763",24697923
"1764",24662706
"1765",24627536
"1766",24592415
"1767",24557360
"1768",24522333
"1769",24487365
"1770",24452455
"1771",24417601
"1772",24382785
"1773",24348025
"1774",24313322
"1775",24278656
"1776",24244047
"1777",24209507
"1778",24174991
"1779",24140544
"1780",24106132
"1781",24071765
"1782",24037468
"1783",24003212
"1784",23969003
"1785",23934852
"1786",23900743
"1787",23866685
"1788",23832672
"1789",23798717
"1790",23764810
"1791",23730948
"1792",23697135
"1793",23663379
"1794",23629652
"1795",23595992
"1796",23562388
"1797",23528819
"1798",23495307
"1799",23461831
"1800",23428402
"1801",23395038
"1802",23361710
"1803",23328449
"1804",23295211
"1805",23262036
"1806",23228904
"1807",23195838
"1808",23162794
"1809",23129808
"1810",23096877
"1811",23063979
"1812",23031138
"1813",22998341
"1814",22965610
"1815",22932913
"1816",22900255
"1817",22867650
"1818",22835086
"1819",22802578
"1820",22770116
"1821",22737697
"1822",22705331
"1823",22673021
"1824",22640744
"1825",22608500
"1826",22576331
"1827",22544183
"1828",22512110
"1829",22480071
"1830",22448077
"1831",22416124
"1832",22384217
"1833",22352350
"1834",22320558
"1835",22288778
"1836",22257073
"1837",22225398
"1838",22193757
"1839",22162179
"1840",22130644
"1841",22099168
"1842",22067719
"1843",22036307
"1844",22004963
"1845",21973656
"1846",21942396
"1847",21911175
"1848",21880006
"1849",21848867
"1850",21817782
"1851",21786750
"1852",21755768
"1853",21724816
"1854",21693902
"1855",21663055
"1856",21632239
"1857",21601458
"1858",21570751
"1859",21540069
"1860",21509423
"1861",21478827
"1862",21448284
"1863",21417775
"1864",21387332
"1865",21356901
"1866",21326530
"1867",21296212
"1868",21265925
"1869",21235672
"1870",21205488
