species;population;N.ind;N.plots;pop.sd
Alchornea oblonga;2337779,9424;2;2;1913869,32173737
Alchornea triplinervia;332250812,354;265;65;156302637,728568
Alchorneopsis floribunda;124830983,7704;211;111;18443741,5804874
Aldina discolor;4229907,7382;3;1;4103988,48473887
Aldina heterophylla;368203857,314;486;31;92957640,1218727
Aldina insignis;17306383,1406;29;3;15013671,1602937
Aldina kunhardtiana;85918620,8568;52;5;43836216,5368593
Aldina latifolia;55748373,9712;44;9;39604384,9060958
Aldina macrophylla;1427472,5348;1;1;1367598,24860886
Alexa canaracunensis;1641641,4636;2;1;1996655,30004032
Alexa confusa;203220783,116;209;6;80407611,1042531
Alexa cowanii;40074430,355;74;1;38635924,7704677
Alexa grandiflora;352290947,356;263;18;121308993,118134
Alexa imperatricis;396695267,1006;398;17;147188754,176509
Alexa leiopetala;256963,708;1;1;379945,034017705
Alexa wachenheimii;3508564,7056;21;6;1640060,53774881
Alibertia bertierifolia;16249256,5656;24;10;9213798,60066905
Alibertia curviflora;4627823,3038;8;3;3629421,10525786
Alibertia duckeana;541095,7934;1;1;595921,107032501
Alibertia edulis;76747627,6026;45;23;33516524,2332606
Alibertia isernii;3145045,185;12;7;1169832,84568071
Alibertia itayensis;2627059,2942;11;9;962389,299858836
Alibertia latifolia;1124592,332;2;2;1110722,45028216
Alibertia macrophylla;10390640,832;18;10;3600056,12495805
Alibertia pilosa;1080841,6246;2;2;1330442,61022568
Alibertia verrucosa;66132754,2752;78;16;29126849,7900064
Allantoma lineata;89028564,9472;156;31;34650432,1421081
Allophylus amazonicus;22554378,244;45;20;7257350,56166213
Allophylus angustatus;2182489,4536;7;7;974935,788226445
Allophylus divaricatus;8983806,9132;23;18;2549592,43628467
Allophylus edulis;1081787,7458;2;1;1189373,89103848
Allophylus floribundus;16687281,5668;36;26;4408531,74775919
Allophylus glabratus;5832879,7204;15;11;2117063,32703064
Allophylus incanus;446471,1458;1;1;482734,193005123
Allophylus latifolius;34378265,1902;16;13;14510435,0747399
Allophylus leptostachys;1534495,101;1;1;1769388,64918806
Allophylus loretensis;15598489,6154;23;8;5427954,40889417
Allophylus mollis;2118114,7498;2;2;1237002,34099947
Allophylus pauciflorus;2549215,4708;1;1;2507710,49717287
Allophylus pilosus;10110098,0236;17;12;4023133,72132682
Allophylus psilospermus;1501829,4738;1;1;1654230,24427502
Allophylus punctatus;19254992,5264;41;19;10278326,9880804
Allophylus racemosus;1534495,101;1;1;1769388,64918806
Allophylus robustus;787438,5786;2;2;565522,180485181
Allophylus scrobiculatus;64710047,8826;156;17;34971129,9663167
Alseis blackiana;10442136,8614;31;9;5083598,50390703
Alseis eggersii;1970081,2416;2;2;1632803,64511979
Alseis floribunda;51074644,0778;25;4;45692911,1115917
Alseis labatioides;71971290,619;70;19;21829701,5490572
Alseis longifolia;39370583,5616;14;3;28401659,572928
Alseis lugonis;10434361,1262;27;16;3320998,78327679
Alseis microcarpa;14507661,4998;29;9;8531937,8486351
Alseis peruviana;5911174,477;2;1;6439650,02289565
Alseis pickelii;1752112,717;1;1;1766661,79771961
Amaioua corymbosa;214604191,273;332;70;56564321,0942395
Amaioua guianensis;641845084,076;1304;166;105676247,978457
Amanoa congesta;1239982,3124;8;4;685469,71994544
Amanoa gracillima;61435330,8176;71;3;71564534,1866106
Amanoa guianensis;34196471,3448;44;28;10456773,6670079
Amanoa nanayensis;3467019,22;6;3;2597390,72640733
Amanoa neglecta;111022,2084;1;1;174568,190900691
Amanoa oblongifolia;131683738,2732;114;17;51286752,7456715
Ambelania acida;105794302,3472;287;152;15859250,6839381
Ambelania duckei;9808777,9994;14;13;3591409,59096486
Ambelania occidentalis;3442050,9828;4;3;2323703,46988414
Amburana cearensis;41619794,5204;50;13;18311975,4305473
Amerimnon spinosum;2106769,0844;1;1;2084053,3427801
Amorphospermum pruniferum;802938,7232;1;1;740131,624881354
Ampelocera edentula;281903273,312;372;199;52187548,8293902
Ampelocera longissima;4771316,5684;14;10;1500288,53181493
Ampelocera ruizii;134882270,9802;127;39;55410924,8692112
Ampelozizyphus amazonicus;1131813,0116;1;1;1054004,98035833
Amphirrhox latifolia;20390249,0406;16;6;10670009,9445744
Amphirrhox longifolia;123936565,934;133;55;59142778,7603762
Amphirrhox surinamensis;50856657,18;40;11;31847416,509308
Amyris macrocarpa;3145279,1876;4;4;2250153,90464557
Anacardium amapaense;1371043,6804;2;1;1331176,33507139
Anacardium excelsum;14004090,751;4;2;10322839,9900541
Anacardium giganteum;205145271,21;207;103;28682537,1311069
Anacardium microsepalum;3180558,4872;4;3;1756663,02043089
Anacardium occidentale;3956558,5636;5;4;2329862,56469227
Anacardium parvifolium;57148835,298;66;43;21649590,7737808
Anacardium spruceanum;62142823,8536;130;89;12715802,4765469
Anacardium tenuifolium;11959102,7756;9;4;6079031,15049719
Anadenanthera colubrina;367050238,106;326;11;129473263,585314
Anadenanthera macrocarpa;130476120,3834;28;9;39537972,6821759
Anadenanthera peregrina;12515420,9398;5;3;9964442,23585601
Anaueria brasiliensis;228283206,183;143;28;97243815,6504139
Anaxagorea acuminata;37080199,46;70;29;7952571,008729
Anaxagorea angustifolia;8052028,6172;8;1;8138072,24527111
Anaxagorea brachycarpa;6923110,7142;3;2;6681851,76439022
Anaxagorea brevipes;179851938,6348;204;30;141497944,932386
Anaxagorea dolichocarpa;251137405,4976;193;35;90911498,823327
Anaxagorea phaeocarpa;5968451,725;14;8;2151479,5288686
Anaxagorea rufa;4544090,8766;2;2;3348481,46513196
Andira cordata;31048126,0272;52;2;26855271,6629247
Andira coriacea;7963085,862;67;20;3136508,15332382
Andira cujabensis;278806,1788;1;1;273539,184526815
Andira fraxinifolia;225803174,806;45;2;186250456,576021
Andira inermis;79697491,9874;129;74;14151703,275821
Andira macrocarpa;3375722,3924;9;6;1728698,57554897
Andira macrothyrsa;8716243,5062;21;10;3666195,54461701
Andira micans;1409969,2462;1;1;1367996,16199668
Andira micrantha;89741814,4842;148;78;20633667,0094428
Andira multistipula;14083666,968;22;13;6463166,11091196
Andira parviflora;21557768,6326;34;27;6498873,76385536
Andira surinamensis;62381355,2638;85;40;16683591,5851221
Andira trifoliolata;21018969,0402;29;21;6965905,31639135
Andira unifoliolata;160769129,9824;180;85;71698647,9059105
Andira vermifuga;1134649,151;3;1;1219819,86329903
Angostura longiflora;5723671,8486;6;2;4255938,63921313
Angostura silvestris;4124263,8442;4;1;3224055,38190409
Aniba affinis;3645708,4266;2;2;2601602,56045771
Aniba bracteata;2093768,5468;1;1;2334200,49422644
Aniba burchellii;75632729,8562;85;36;31890695,9907623
Aniba canelilla;111470876,0466;177;93;21891598,9321922
Aniba citrifolia;96727132,2222;117;46;40834265,4944032
Aniba coto;1610839,176;2;2;1676159,39738455
Aniba cylindriflora;30519954,7646;37;12;14749709,5105918
Aniba excelsa;14708941,277;33;12;5446456,94587276
Aniba ferrea;14839028,024;19;13;6195364,26748205
Aniba firmula;28933161,562;62;34;5577558,8649069
Aniba guianensis;66735061,649;108;53;13891840,6923932
Aniba hostmanniana;50450916,838;114;72;10184573,3231739
Aniba hypoglauca;22623237,0176;47;17;7335722,06265934
Aniba jenmanii;2126769,147;8;5;918297,853991278
Aniba kappleri;57423797,154;62;27;25692642,2718821
Aniba megaphylla;11644942,3122;10;7;6871917,74404844
Aniba panurensis;70823039,6236;87;42;25115416,0257504
Aniba parviflora;55866253,2482;96;52;16438893,0949918
Aniba permollis;9793990,7826;6;3;8223304,72747806
Aniba perutilis;3549188,4232;4;3;1899222,75597036
Aniba puchury-minor;41749224,7546;49;23;12782802,8633047
Aniba riparia;38207143,0032;52;27;14519632,4284772
Aniba rosaeodora;36479281,8886;33;19;14711958,294982
Aniba santalodora;1111708,0708;2;1;1172485,76499578
Aniba taubertiana;29185877,3538;55;35;7349696,62226839
Aniba terminalis;21731822,109;44;31;8279546,22571292
Aniba vaupesiana;1374837,669;1;1;1732417,7355062
Aniba williamsii;90495624,6944;81;53;30404766,1590529
Anisophyllea guianensis;89904257,415;140;15;32895746,2412669
Anisophyllea manausensis;27201937,4852;70;40;7133182,20743294
Annona amazonica;5348556,4288;9;7;2561697,13709995
Annona ambotay;34302994,0406;60;37;8090961,31508274
Annona centrantha;828218,1828;2;2;633044,248683994
Annona cherimolioides;24458280,5012;23;12;12014461,976922
Annona coriacea;557612,3578;2;1;547078,368875143
Annona cuspidata;20892150,0186;18;11;8486874,6397966
Annona densicoma;1857371,3566;3;3;1239827,75127536
Annona dolichopetala;3809564,1758;9;7;2404769,05908541
Annona dolichophylla;7240388,1408;10;7;3099251,1412071
Annona duckei;9408053,0254;24;16;3348892,6072685
Annona edulis;31001704,4694;48;30;6307688,39854602
Annona emarginata;975613,8944;1;1;802059,258207811
Annona excellens;5620017,1092;6;6;2506556,85827516
Annona exsucca;147167963,5016;137;55;44363136,4080467
Annona foetida;26984687,0864;31;22;12028360,4370063
Annona fosteri;10632238,3406;15;6;6236169,64002895
Annona glabra;2423335,4328;1;1;2176166,21808866
Annona glomerulifera;1577673,5056;6;5;842439,129253224
Annona haematantha;2648388,7816;1;1;2324878,08626846
Annona helosioides;2239036,5128;6;6;1003986,72875478
Annona herzogii;4022168,3946;4;2;3070372,87075892
Annona hypoglauca;74107991,9466;93;18;26884751,4969287
Annona impressivenia;42574957,5292;45;8;28048362,8353227
Annona insignis;801972,6186;1;1;639628,912893271
Annona jucunda;723622,8438;1;1;639518,130193342
Annona leptopetala;5788028,504;2;1;5577751,98547514
Annona montana;49642653,6628;50;28;21805822,5820391
Annona mucosa;4927087,334;8;7;2320103,61301873
Annona muricata;5714471,7552;11;2;6073729,98709292
Annona neoamazonica;1118916,8076;1;1;1065988,54209745
Annona neochrysocarpa;5547527,5618;6;3;4609109,28740665
Annona neoelliptica;2630772,922;7;5;1081182,85021495
Annona neoinsignis;39482258,8632;43;31;13310257,7928096
Annona paludosa;1985796,9166;1;1;1691447,72173935
Annona papilionella;109379615,1934;199;66;41343485,7829361
Annona poeppigii;819633,1308;1;1;943919,238708609
Annona prevostiae;1342740,76;8;6;618196,204658729
Annona sericea;4533361,767;10;5;2915133,61148052
Annona squamosa;14470071,259;5;1;13944379,9623669
Annona symphyocarpa;9933493,0644;15;4;5495502,76740108
Annona tenuipes;14952829,9798;20;19;4118385,7921359
Annona williamsii;410856,752;1;1;451264,010641958
Anomalocalyx uleanus;163698113,896;86;18;59929867,6493289
Anomospermum grandifolium;3984868,7882;4;3;3497655,40623998
Anomospermum reticulatum;1549106,4462;4;3;1123444,85669581
Anthodiscus amazonicus;16817426,8642;7;4;10685120,3293679
Anthodiscus klugii;13665662,0428;23;20;3007678,19564539
Anthodiscus obovatus;1847343,1222;2;2;1289938,45330644
Anthodiscus peruanus;4597218,6874;6;5;2346283,41324722
Anthodiscus pilosus;14208723,4066;23;15;4840052,73330661
Antonia ovata;40630631,869;137;33;25231580,9703901
Antrocaryon amazonicum;8150561,4428;7;5;4429429,94951678
Aparisthmium cordatum;617715414,834;498;90;121290804,315877
Apeiba albiflora;44741279,9648;12;5;28467939,7888817
Apeiba aspera;401702257,128;757;185;48692634,0615729
Apeiba echinata;134861854,3396;49;6;66758786,4065709
Apeiba glabra;195071607;412;122;29046887,4030147
Apeiba intermedia;3080838,3296;2;1;3730358,00586288
Apeiba macropetala;34967035,7984;27;5;21166911,9955049
Apeiba membranacea;11725369,835;6;1;11658699,0133242
Apeiba petoumo;232922962,712;563;165;41435119,3275355
Apeiba schomburgkii;67919198,6342;46;20;19863685,4023343
Apeiba tibourbou;414417261,622;205;81;101766366,217298
Apeiba uittienii;1540419,1644;1;1;1865179,00262658
Aphandra natalia;10768385,6794;4;2;7602210,02933189
Aptandra tubicina;80100045,1356;80;32;20649998,4820322
Apuleia leiocarpa;207614559,542;265;94;26998544,9265901
Aralia soratensis;1951227,7884;2;1;1604118,51677319
Archytaea triflora;1097350,222;1;1;1403107,28078891
Ardisia guianensis;3651678,8188;3;2;2928857,11534019
Aspidosperma album;131245729,9018;178;63;28517334,8041477
Aspidosperma araracanga;32977109,0754;26;11;11210652,1089152
Aspidosperma auriculatum;56628023,6172;43;13;33553792,9852987
Aspidosperma australe;591401,0786;1;1;656781,12874925
Aspidosperma capitatum;860345,4476;1;1;1131180,08984872
Aspidosperma carapanauba;81422292,606;66;36;23155936,8189186
Aspidosperma cylindrocarpon;125064045,6676;138;16;48907871,8820274
Aspidosperma darienense;39302576,6028;102;14;13501264,4154371
Aspidosperma desmanthum;143720343,16;216;98;19005073,8005704
Aspidosperma discolor;56295401,0636;78;12;16193071,1588126
Aspidosperma eteanum;22777564,477;34;24;7209530,68484637
Aspidosperma excelsum;1132831180,16;2105;290;168752461,45093
Aspidosperma fendleri;12850756,5628;34;13;6235717,31330575
Aspidosperma helstonei;3772596,4754;2;2;3539787,43997096
Aspidosperma inundatum;1293047,8996;5;4;797222,02026552
Aspidosperma macrocarpon;96849263,5386;98;23;36765025,6271343
Aspidosperma megalocarpon;4726806,9334;5;5;2261777,3528637
Aspidosperma megaphyllum;11770211,5502;27;10;5559046,74577199
Aspidosperma multiflorum;42783997,5744;66;12;21388778,1160803
Aspidosperma nanum;7177312,9442;9;3;6441372,68226536
Aspidosperma nitidum;95152107,5488;128;49;25551738,2305829
Aspidosperma oblongum;49962293,8956;71;35;16779564,9196721
Aspidosperma obscurinervium;15036914,522;13;6;8110468,11965341
Aspidosperma pachypterum;8238475,369;8;4;6428193,55204433
Aspidosperma parvifolium;191035079,982;221;57;32504855,2113558
Aspidosperma pichonianum;51452147,578;18;7;38774344,915574
Aspidosperma polyneuron;22130823,977;26;9;8654431,39757525
Aspidosperma pyrifolium;3297342,8872;3;2;2407874,75005427
Aspidosperma rigidum;211775989,066;231;92;37029268,9002063
Aspidosperma sandwithianum;16214329,776;25;20;7254246,499444
Aspidosperma schultesii;152422261,999;95;23;61175460,7340227
Aspidosperma spruceanum;129213560,5522;211;92;38975116,5420508
Aspidosperma steinbachii;2678069,1178;2;2;2411673,65620744
Aspidosperma subincanum;20741887,9268;50;6;11448093,7859269
Aspidosperma tambopatense;7668113,3428;17;6;4012581,42660875
Aspidosperma tomentosum;20829364,5994;19;4;18500085,8408131
Aspidosperma ulei;8162849,8448;10;4;8970535,95863626
Aspidosperma vargasii;71715707,5126;125;24;19725165,1910995
Aspidosperma verruculosum;28874267,4774;29;13;12317762,5901603
Aspidosperma williamii;6549154,4972;17;10;2193697,73457086
Astrocaryum aculeatum;539132241,336;391;65;125404955,977796
Astrocaryum chambira;110194452,0858;206;65;27668493,1471008
Astrocaryum gratum;68524191,1028;82;5;38724130,6411628
Astrocaryum gynacanthum;208231226,2904;458;11;144476576,771402
Astrocaryum jauari;366623947,534;325;36;74256436,9412428
Astrocaryum murumuru;2409750124,92;5748;195;271022771,392177
Astrocaryum paramaca;3304602,9052;13;2;3649784,80571914
Astrocaryum rodriguesii;3124286,1052;5;3;2316291,5059931
Astrocaryum sciophilum;988133459,134;1513;73;294645275,204541
Astrocaryum urostachys;236932,8024;1;1;210809,09173758
Astrocaryum vulgare;45792236,5104;92;10;17866531,8373206
Astronium fraxinifolium;61000949,7556;48;6;51879225,8618311
Astronium gracile;94946675,3338;91;50;19556315,5568895
Astronium graveolens;176657178,982;129;29;89922322,5795734
Astronium lecointei;343520294,42;224;114;113704788,205374
Astronium obliquum;95030894,5676;127;57;25390273,0431205
Astronium ulei;34098369,0888;73;23;10367611,4844698
Astronium urundeuva;23477915,3746;18;1;25846124,5806384
Ateleia guaraya;10493750,3212;7;2;8694874,16120917
Attalea butyracea;1778656968,92;1948;68;287909910,322138
Attalea insignis;2060735,8324;5;1;2695340,26592161
