Accepted_species;n.ind;n.plots;est.ind;population.mean;population.sd
Euterpe_precatoria;6309;393;4921459157,76632;4921169441,584;385131537,106482
Eschweilera_coriacea;9101;565;4354613233,73736;4364594968,498;208491539,297865
Protium_altissimum;3249;183;3972386934,28916;3951744194,886;667781693,230897
Iriartea_deltoidea;8386;216;3404874215,37286;3378188893,54;622869648,337726
Pseudolmedia_laevis;5310;424;3344930717,92758;3320880273,772;227014759,570876
Oenocarpus_bataua;4839;349;3012409900,98748;3006270440,952;281387492,213206
Trattinnickia_burserifolia;875;121;2491890705,4992;2511421040,883;515892320,270157
Socratea_exorrhiza;2979;333;2109977617,54773;2084613431,216;181892322,85529
Protium_heptaphyllum;1360;131;1792700159,56916;1837475212,6984;579555216,11744
Brosimum_lactescens;2294;326;1695868332,6587;1709702994,8;154836000,523166
Astrocaryum_murumuru;5061;177;1629573057,19543;1645980436,438;162581562,400366
Helicostylis_tomentosa;1461;426;1560468560,38236;1566450666,3188;489263737,655066
Eperua_falcata;6031;127;1526716858,96749;1545577840,994;199095545,229327
Hevea_brasiliensis;1881;173;1482212532,33434;1484479873,9136;203649066,25977
Euterpe_oleracea;7987;77;1426854247,67439;1426075741,9914;201799985,687384
Theobroma_cacao;1524;135;1438172228,29408;1402635301,698;326566871,267817
Eperua_leucantha;1390;16;1386369654,91012;1402100340,8078;382796835,420284
Mauritia_flexuosa;1967;88;1376895205,32234;1402079292,834;330072522,176334
Attalea_butyracea;1948;68;1404605615,61728;1391319621,0672;219485821,369589
Rinorea_guianensis;2536;160;1322172097,57288;1337577693,3346;142214248,804601
Hymenopus_heteromorphus;2612;441;1308500969,27912;1300291348,4244;165685113,243049
Iryanthera_juruensis;1879;325;1264666551,13139;1258855489,8658;102245295,571097
Micropholis_guyanensis;2291;418;1217885630,81895;1213340590,3392;103673238,868572
Virola_calophylla;1860;363;1141690319,70963;1137175796,0296;107221432,710547
Clathrotropis_macrocarpa;1579;74;1138818955,397;1129872066,9948;162739746,616313
Metrodorea_flavida;1317;90;1125041263,56727;1116185378,4244;165749338,735417
Virola_surinamensis;1716;212;1108397127,80929;1115624417,1924;139574636,414988
Theobroma_subincanum;1856;378;1109414089,50621;1111268248,283;119380302,567658
Protium_apiculatum;1678;246;1072048575,03145;1088983210,833;115512197,326515
Pachira_brevipes;1392;25;1051773703,22908;1056946827,4498;309358156,68209
Leonia_glycycarpa;1840;313;1030565312,46943;1022045794,286;125417375,035829
Theobroma_speciosum;969;214;1012119209,20683;993642408,658199;132492116,428304
Oenocarpus_bacaba;2106;308;989284274,648545;977997656,792;86241166,5717468
Guarea_kunthiana;1131;215;984612996,742293;976786895,686;157756662,516566
Rinoreocarpus_ulei;806;67;938895460,607448;967103458,618;277780978,998918
Aspidosperma_excelsum;2277;349;946938111,095993;955570232,955601;80785985,338252
Pseudolmedia_laevigata;1331;275;959256724,514626;953372140,5844;108893171,544002
Attalea_speciosa;865;43;938201599,408972;945800037,7754;240371133,315225
Hevea_guianensis;1550;288;934923896,508507;936499567,4988;75404228,8856788
Protium_hebetatum;1890;224;926596708,631378;933150228,7784;148004454,916329
Eschweilera_albiflora;928;83;914974049,315003;925102570,283;137261153,732713
Cheiloclinium_cognatum;765;107;938580275,320981;904839070,955199;216301142,755323
Goupia_glabra;1714;379;896097846,688129;897734378,4306;87552606,9642625
Protium_picramnioides;1476;329;885449887,152836;892971496,1672;95368233,4883137
Minquartia_guianensis;1700;527;881850532,540162;883787346,289601;45223868,3421448
Brosimum_guianense;1217;419;858654097,41654;854485658,5878;98834797,2179051
Leptobalanus_apetalus;1470;195;836126755,969828;845213733,189599;149725073,948049
Eschweilera_wachenheimii;1468;127;832268430,300411;828988293,7234;111099224,148541
Ecclinusa_guianensis;1554;296;827439402,277529;824635582,460001;92816068,7724384
Gustavia_augusta;1142;130;813714212,701303;820780879,7158;174368966,113231
Eschweilera_grandiflora;1666;217;804917984,857421;812978783,6096;103178888,036395
Pseudolmedia_macrophylla;988;161;818400269,809214;810185822,223599;118113221,603346
Guatteria_punctata;1512;306;796093687,909691;800024229,604201;47614626,6607114
Dialium_guianense;949;317;799414583,766016;799305889,561;68929772,5107666
Symphonia_globulifera;2053;394;794966413,644743;799188158,889801;72443685,403176
Brosimum_rubescens;1519;404;793759965,49885;798723483,3742;63301182,9536523
Pouteria_guianensis;1479;390;793866917,47593;798082578,7586;72824873,4537417
Rinorea_racemosa;1627;214;796924431,789342;796174941,0818;73072167,9628244
Virola_elongata;1136;230;799318399,314785;795798232,396601;101430467,831386
Pourouma_minor;1536;250;789504409,980555;789087794,769601;83071869,8215934
Tapirira_guianensis;1561;396;791831461,67328;786819586,5296;55840463,724323
Pentaclethra_macroloba;2756;77;759632820,782163;762133317,066199;116687152,501997
Chrysophyllum_sanguinolentum;1338;254;756913948,475093;760897199,480201;83161730,3208848
Micrandra_sprucei;843;10;772916007,197439;747825291,19006;345695230,574738
Pterocarpus_rohrii;912;227;737427403,979442;739370584,1532;121949501,298341
Amphiodon_effusus;849;80;725785764,44303;727291234,219199;164263224,043924
Oxandra_polyantha;827;29;713173208,31179;726925770,7256;243887907,238176
Licania_micrantha;973;216;716849448,690552;714894682,273001;104826336,807588
Protium_sagotianum;903;219;712623492,472232;705891799,301599;116735197,211627
Jacaranda_copaia;1404;444;697934530,795882;699705937,6464;55694208,7451937
Attalea_maripa;680;154;703295434,270179;698004278,1226;106108405,852671
Carapa_guianensis;1989;185;691184410,43921;697257110,9708;78850868,6299739
Lecythis_idatimon;2838;114;672046084,99519;691909526,809;60896772,7661825
Inga_alba;1405;351;688831252,634079;688212273,055201;50522245,2650407
Virola_pavonis;1082;187;680536105,052019;682358906,9848;82079710,8592422
Amaioua_guianensis;1228;166;649708220,290419;670429615,502;121471699,77404
Micrandra_spruceana;752;58;660602214,645625;661397666,1706;138197024,84895
Mabea_speciosa;946;153;643282479,68263;628788510,473799;97155342,2765971
Iryanthera_laevis;881;208;623472609,796616;621129454,704801;83773458,2930029
Eschweilera_parvifolia;1065;86;604541067,809676;620789923,2944;101831321,696234
Pouteria_elegans;817;78;623072364,239065;620702700,4874;133686618,298438
Virola_michelii;1313;266;610341649,232573;611217356,2328;48207487,8234082
Pourouma_guianensis;1161;260;598554723,433909;600125048,8612;66108052,1455879
Cecropia_sciadophylla;1012;276;598088830,906882;599704414,5126;69872160,6983672
Eschweilera_sagotiana;2477;84;571314478,14831;582506797,485;88634968,4983641
Haploclathra_cordata;543;6;625011388,06795;574653868,457664;314792540,097878
Tachigali_paniculata;720;175;564477516,619037;563535012,118;58032623,1854629
Manilkara_bidentata;1247;289;557118336,329406;560097830,805599;58838377,8024941
Protium_tenuifolium;679;201;564426888,745287;558903492,2034;106760129,438613
Sagotia_brachysepala;613;16;553478185,973152;557683767,93092;188329246,054076
Eschweilera_pedicellata;1175;210;556309202,262507;554790102,729;80984243,3117576
Guarea_macrophylla;1237;174;542964503,764927;552765765,8942;66123234,5063567
Celtis_schippii;928;137;568517255,0122;552307606,7986;122098147,163226
Astrocaryum_sciophilum;1504;73;564695741,200044;550133239,615399;131343299,570857
Scleronema_micranthum;992;181;541338045,811714;545292512,7284;50169521,380003
Monopteryx_uaucu;428;31;548218892,092458;541242221,61;219249137,299484
Eschweilera_atropetiolata;1064;154;528926524,136018;540927660,744;90236862,9569507
Catostemma_fragrans;2216;93;523241282,421959;540678839,872201;90052963,7196896
Geissospermum_sericeum;963;134;544563369,070719;539879704,339;51768085,9364889
Eschweilera_tessmannii;784;155;531089731,403347;533726954,561799;62386597,5891361
Trichilia_quadrijuga;474;106;541320962,439045;531803069,1682;133090777,359314
Lecythis_corrugata;1719;111;535837625,61642;530123041,028;60606416,0295512
Simarouba_amara;710;325;531239870,319625;519646716,2088;49554139,4680742
Micropholis_venulosa;955;334;513600143,824416;517266748,1416;65154663,0125018
Pseudobombax_munguba;751;49;502865702,762841;515750132,4466;163067765,456557
Protium_decandrum;1051;230;517589148,839628;512364392,3302;60512372,5348632
Maquira_coriacea;549;63;517357034,522013;507226475,6602;113241432,62678
Pseudosenefeldera_inclinata;1316;38;512320203,970143;504206081,7462;154449477,71986
Eschweilera_parviflora;1229;73;488983872,846193;497647528,9564;98902751,120743
Guarea_silvatica;391;131;487281723,413571;495099271,0212;82363793,7596202
Leptobalanus_octandrus;845;217;487858150,329353;492301257,2598;58885762,6710285
Eschweilera_bracteosa;658;143;486474997,329064;491450957,8092;99030028,551378
Quararibea_wittii;1199;77;498447919,619444;489977668,8212;92524017,7918471
Mezilaurus_itauba;611;165;481278157,750627;482673091,246;82432266,3827576
Sterculia_pruriens;1026;262;476968182,658818;477940199,8706;36592050,8054038
Hirtella_racemosa;831;108;465009746,700695;477630845,2634;77353488,5110323
Osteophloeum_platyspermum;752;280;474477810,401702;475619165,1476;38843424,6233993
Otoba_parvifolia;1770;104;467563830,971926;473247734,899;58613366,1300214
Spondias_mombin;829;195;454132038,555415;469466309,4916;57577909,3315828
Eperua_purpurea;441;14;482816571,692095;469414824,9922;145119880,386984
Astrocaryum_aculeatum;390;63;467496830,308852;469036147,4192;106765083,447695
Conceveiba_guianensis;780;328;468503378,679547;467405035,251601;60033724,976195
Clarisia_racemosa;759;278;465316819,935103;464572304,256601;31228705,381599
Siparuna_decipiens;1036;258;462996155,195382;463390929,485;46139323,5084153
Sacoglottis_guianensis;860;211;467312525,540123;462601305,0516;56069970,8224642
Gustavia_hexapetala;1071;216;461428548,42499;462425973,8164;49192570,4808618
Ocotea_aciphylla;598;144;460598503,657471;460791313,1114;71613757,8293728
Pouteria_cuspidata;712;253;457338932,692471;457748985,6368;47874439,1046934
Luehea_cymulosa;686;59;435958204,22402;455305808,59426;172387193,394023
Pouteria_caimito;747;239;455459705,533706;455204038,6554;41743891,0574909
Macrolobium_angustifolium;928;99;450889609,977015;454270219,8468;71665998,3876156
Mora_gonggrijpii;994;23;469753403,978557;454075431,26456;181458490,04819
Dicymbe_corymbosa;1158;9;452663747,170612;453238584,46028;176696352,426006
Handroanthus_barbatus;355;26;451673216,845905;448420109,69618;129079761,624893
Protium_trifoliolatum;669;181;440276344,157652;446427784,6764;67292254,7514043
Attalea_phalerata;545;50;454390938,125332;439081244,9192;110716258,802623
Guarea_guidonia;570;131;427621032,292002;435764798,046801;77396489,0522437
Aparisthmium_cordatum;544;120;426557123,1085;432882909,2486;84238746,9692667
Laetia_corymbulosa;835;24;422267546,530135;432442019,96204;165371124,301097
Calophyllum_brasiliense;601;147;418823708,236562;425184301,444;63408845,3050997
Mabea_nitida;445;52;415102987,825122;424696980,7928;125579379,787552
Virola_sebifera;697;206;425223406,180294;423789498,0186;45648471,7166017
Inga_thibaudiana;879;241;417190010,723784;421287671,4186;45434485,0409623
Pouteria_reticulata;819;283;425462210,161835;420588655,2692;39086547,1312674
Caryocar_glabrum;643;321;420671389,247247;420038692,879599;33809499,7762527
Couepia_guianensis;921;198;418787620,359204;415489121,2386;74728761,1516861
Inga_lateriflora;176;44;404828948,008818;413425842,32402;221628135,500422
Inga_capitata;591;173;417687173,419242;411105309,9128;53016722,8774824
Xylopia_amazonica;508;71;394684049,085705;408132015,3864;97158765,5258605
Brosimum_utile;537;215;406710135,247313;407230425,7818;46257165,7413597
Bocageopsis_multiflora;708;183;411481491,408071;399831012,472;59726892,9433878
Lecythis_retusa;125;22;386222905,591761;394576196,576954;237084206,496724
Laetia_procera;1017;276;395248005,764208;393767391,7572;42351942,8971074
Tachigali_poeppigiana;488;56;391310791,923221;392325993,57982;135176300,430784
Eperua_grandiflora;1625;52;375414062,475281;389339006,051;104530533,734091
Iryanthera_ulei;430;82;389596459,90094;388488932,8348;45524396,9065495
Unonopsis_guatterioides;467;106;383541318,440078;387191669,59;53556562,0377172
Pourouma_bicolor;697;194;383895862,201187;386093802,8592;37137148,041978
Erisma_uncinatum;594;120;383137339,211387;385955421,9878;76068730,6615243
Zygia_racemosa;886;258;386910172,716806;385013165,3904;25046616,4650909
Qualea_paraensis;615;145;379198109,151658;384730061,659;51648492,1847842
Cecropia_latiloba;633;43;373900474,35149;382780292,3992;133344070,065066
Licania_densiflora;720;52;368641745,572455;379256526,1984;118147408,281317
Protium_aracouchini;524;152;383404541,353753;377221986,3804;64058952,8812396
Sagotia_racemosa;869;87;390100986,246889;374537099,9138;67542002,1601269
Sloanea_eichleri;559;97;365998201,470018;374405299,5594;68145814,7377683
Pterocarpus_amazonum;467;83;371157846,578316;373692084,652;76251198,1454402
Caraipa_densifolia;441;56;375950256,193288;368923282,9426;99573467,0604712
Miconia_pyrifolia;515;69;364073846,148133;368725842,4412;78132492,1198835
Leonia_crassa;550;66;363488009,240576;366878729,5652;99782726,6390816
Protium_pilosissimum;546;38;355615747,384392;363358761,1266;71164842,9100561
Diplotropis_purpurea;439;192;357722310,245741;362433935,4022;48124597,5529747
Vouacapoua_americana;1153;127;356259129,246985;360347949,9548;48277053,4746862
Himatanthus_sucuuba;416;147;355770674,532514;359954971,298;46295096,2143418
Trichilia_micrantha;506;182;358183350,420987;359522155,4858;48561673,1363711
Garcinia_macrophylla;503;158;360318723,949427;355385451,9822;51481186,2977251
Cupania_scrobiculata;558;147;356958059,484428;354740682,0086;46113087,5526199
Drypetes_amazonica;676;116;347926977,219566;348598544,6398;51610657,0666976
Macrolobium_acaciifolium;404;70;332690073,230664;345879454,6776;97714452,5632434
Eschweilera_amazonica;719;94;339385826,767383;342942490,708;38711593,1628397
Trichilia_pleeana;601;105;340334138,275669;340822342,2718;56215848,6862263
Hura_crepitans;529;78;337683255,186379;340424089,7062;55617635,1703997
Aldina_heterophylla;486;31;339709354,020385;339713169,8002;86136757,6463839
Triplaris_weigeltiana;494;48;333722926,820648;338021419,15612;128264399,882724
Pseudolmedia_rigida;530;52;329960173,649415;336176796,11302;185392213,649904
Pourouma_cecropiifolia;682;156;332111390,985035;335197884,0096;43662724,2266308
Cenostigma_tocantinum;382;17;331468474,72909;333883976,18864;104573218,295374
Ocotea_leucoxylon;422;56;322246067,409153;332813373,38512;112083329,964661
Vatairea_guianensis;442;113;326365067,919449;331606023,795;52427844,0529261
Swartzia_polyphylla;652;213;332019601,058745;331179370,775;47544686,9505976
Malouetia_tamaquarina;327;47;328460686,460227;330773305,3396;63500430,0422446
Tachigali_rugosa;416;37;328854792,357827;329496165,9832;49470521,5203788
Zygia_cataractae;335;26;322319601,693569;327961169,032;87400452,8251888
Astronium_lecointei;222;113;334190241,525497;326085814,3576;117147802,50435
Eschweilera_decolorans;934;96;327833008,114291;325252615,3722;43251942,0861266
Pouteria_cladantha;620;210;323776447,691427;324096948,917;30452508,0782595
Astrocaryum_jauari;337;36;327241837,759058;320330080,5492;85043105,248318
Chrysophyllum_prieurii;496;167;318816461,010392;319763334,6036;54014217,2871915
Pouteria_torta;642;199;314014062,770535;314848951,7708;29962408,8420161
Mauritiella_aculeata;418;23;317047073,96783;314346728,35236;151170237,653204
Tachigali_chrysophylla;411;102;316854272,037931;314206138,8782;49010194,5505104
Iryanthera_tricornis;368;71;310530191,411075;313875916,0958;46166496,1790057
Inga_marginata;456;142;307592760,535321;313864069,4564;67362225,8320039
Apeiba_tibourbou;195;80;307080155,591975;309527138,325;64533389,3760664
Quararibea_guianensis;960;53;306886540,643309;308774213,5374;76783425,1752431
Helicostylis_scabra;347;140;306618622,135318;304245718,074;63111294,4879875
Cecropia_membranacea;362;68;299660175,678661;303397057,41316;131062227,591342
Taralea_oppositifolia;348;75;316916260,128976;303317477,3244;47083831,7302406
Pouteria_macrophylla;463;141;301056645,537051;303156187,2132;42291934,762081
Rinorea_riana;589;68;300245916,869084;302532828,0366;47314655,9344003
Anadenanthera_colubrina;353;20;285491721,681427;301033986,389;68027919,8896967
Micrandra_siphonioides;383;41;295240933,207609;300781349,1698;69529625,47846
Mollia_gracilis;335;22;294676675,001493;300303752,03402;132007008,454874
Mabea_piriri;786;128;293804190,348792;300021995,744;37913815,651891
Ocotea_guianensis;402;48;292702306,33018;299247458,6842;61874429,9300094
Bertholletia_excelsa;324;100;301087671,633413;298338728,8644;38190601,4384581
Naucleopsis_caloneura;522;128;301439601,030091;297458389,4524;48348428,6659668
Protium_amazonicum;552;175;301873726,388701;296060262,19;26748529,2296648
Inga_rubiginosa;509;181;296364374,061527;295936354,5904;27190402,1072535
Peltogyne_paniculata;312;114;290570309,499729;295704706,3602;83871508,4663961
Pterocarpus_santalinoides;551;61;313090897,586178;293173181,6916;65533634,7532812
Abarema_jupunba;553;242;292850347,942072;293135934,431;28353263,0897383
Protium_altsonii;550;150;290065329,47553;292185187,687;49010470,8082416
Apeiba_glabra;604;178;290862738,878468;291435532,0152;31696031,0567909
Pseudopiptadenia_suaveolens;507;201;292467644,156828;290879151,9844;27793998,0154707
Protium_paniculatum;577;152;279291642,066845;289464765,0036;44248864,7319359
Cedrelinga_cateniformis;401;119;295182525,991406;289248359,39;40774753,1661083
Micrandra_elata;684;21;288445928,856874;288338845,74954;116978085,278508
Castilla_ulei;308;113;289631939,380758;287052642,1706;38096164,9914192
Apeiba_petoumo;611;171;282558365,528937;286670882,7404;40616807,2163581
Vochysia_vismiifolia;263;50;290139611,49978;286409728,95042;67155846,1013137
Sacoglottis_mattogrossensis;479;73;273035085,289684;286134263,75174;136553504,50854
Nealchornea_yapurensis;309;81;287036650,986152;285695985,4324;47311002,3368267
Cynometra_marginata;307;29;279338032,030674;284711920,282;119851069,287576
Hevea_nitida;346;36;283827177,237334;284698653,2276;66953076,800899
Licania_canescens;665;182;289926722,524239;284491242,4134;35689648,9808649
Hevea_spruceana;247;28;284229514,592176;283723778,75;69558638,9201714
Pouteria_procera;457;125;281101392,711779;283474618,8178;43276997,4387082
Inga_edulis;436;104;273674914,895972;280453566,4814;41707213,1614807
Ampelocera_edentula;396;209;289935842,689158;280197190,6636;55259973,6135113
Pourouma_ovata;326;96;275039210,747959;276812917,168;67367775,9295081
Chlorocardium_rodiei;953;29;270546907,330305;275957633,55944;52953091,693335
Dicymbe_uaiparuensis;491;8;280396005,265181;275941654,36694;135494648,180547
Couepia_paraensis;261;29;270507874,761015;275935687,46462;110417291,577281
Mauritiella_armata;534;13;282509837,328632;275078414,639318;134416377,653773
Licania_alba;1072;106;270530567,228391;274704080,2952;37676509,4914388
Drypetes_variabilis;657;197;281002344,420042;274262669,8488;36064721,2095938
Protium_unifoliolatum;420;41;273957705,689244;273974084,44728;121376947,32874
Macrolobium_limbatum;374;130;276987194,675647;273818953,3562;34818397,6121583
Protium_spruceanum;489;152;271048101,125647;272898142,7868;46379581,0175549
Protium_subserratum;430;170;278759768,330748;272812610,5652;48557459,985066
Leopoldinia_piassaba;265;7;268002154,74353;272757646,99934;98637318,5270404
Ocotea_leptobotra;315;90;268679917,470419;272187824,2346;49767661,5011329
Hymenopus_oblongifolius;435;97;268350927,762713;271531567,2392;42450709,4529172
Peltogyne_catingae;153;42;271390847,634763;270563596,95198;56980091,89111
Mollia_lepidota;330;35;274544620,752942;270534163,24412;93496434,3180006
Pourouma_mollis;845;129;264591013,745418;270165816,3462;34512159,2690803
Dendrobangia_boliviana;892;201;263040138,532834;269643477,1928;26679670,4542901
Crateva_tapia;506;29;266485880,272108;269109648,76906;118776591,257702
Acosmium_cardenasii;399;13;266829865,801173;267755558,155884;123693108,077107
Pourouma_tomentosa;428;173;274263288,320954;265193825,7114;37612414,3490361
Micropholis_egensis;474;165;274290325,635133;264625049,3398;47549320,8324329
Heterostemon_mimosoides;409;21;258200093,784341;264215745,18332;90837529,8820068
Handroanthus_serratifolius;336;154;264638932,827547;262391284,9312;33422491,4477841
Miconia_punctata;329;117;261824383,689128;261444912,22046;52199183,1376259
Alchornea_discolor;353;83;263462664,453888;260384661,823;60990421,3149729
Sapium_glandulosum;409;132;251149334,819105;256475438,3122;47025862,9843223
Sapium_marmieri;446;131;256909357,237452;256299581,9262;32649383,1028628
Endopleura_uchi;359;126;254056869,77698;255855378,8048;26260146,4210273
Hieronyma_alchorneoides;468;119;258233513,122349;255503827,8794;65712072,0036664
Enterolobium_schomburgkii;427;156;254262786,893755;254261219,9772;31510863,6588855
Cordia_bicolor;374;104;249868545,016422;253092301,9572;38794962,5166084
Sloanea_guianensis;423;179;259461045,167306;252711840,6602;31712115,1726955
Andira_fraxinifolia;46;3;254400051,428876;251947732,925644;190401279,593564
Oxandra_mediocris;429;70;252546435,873277;251315688,07858;65934326,2077661
Protium_nodulosum;413;104;249051583,364192;251023066,4224;51793478,4005756
Protium_opacum;571;164;250155460,498247;250495308,5764;26983227,2455114
Trattinnickia_glaziovii;341;66;244622425,562891;249285921,5378;57053631,2384096
Iryanthera_lancifolia;631;114;255376569,821919;248946202,7512;57207139,6193977
Coccoloba_densifrons;444;111;246712146,406981;248601086,9744;35108771,5637603
Terminalia_amazonia;432;145;252339173,254149;248322734,644;36057579,0738506
Lecythis_prancei;411;116;238574869,993292;248034837,609;64329309,4803447
Protium_rhoifolium;298;113;248966029,446313;248023604,004;39717284,6141894
Poulsenia_armata;421;57;269371983,123286;247246161,50168;98808658,7750709
Campsiandra_laurifolia;303;28;238941190,076265;246748289,81118;115085016,496477
Maquira_guianensis;481;223;249987778,521182;246297989,8794;28821162,6265983
Sloanea_floribunda;333;160;242549969,016556;244761026,3314;27592770,3022834
Licania_impressa;346;82;237695008,801108;244743031,0156;60418119,9215055
Eschweilera_punctata;303;26;243359187,7873;243937280,51096;64140932,7535144
Trichilia_septentrionalis;459;173;244851470,872359;243719175,9424;70181904,0053697
Mora_excelsa;608;16;243326628,731464;243545927,95822;128092031,4774
Toulicia_guianensis;376;74;241043256,536307;243426760,0008;38804542,0275496
Eschweilera_ovalifolia;267;42;240196918,132634;243266253,95666;66944904,3536609
Manicaria_saccifera;663;14;294784172,767249;242980784,61294;115935908,536144
Thyrsodium_spruceanum;397;169;240937421,015633;242456302,0436;26398031,6033437
Urera_caracasana;324;48;242488506,612099;241083911,71606;86484649,8760877
Apeiba_membranacea;570;135;237488112,908595;238927360,1808;26552042,7109313
Glycydendron_amazonicum;297;174;238732131,377515;238330049,489;38445051,2759315
Schefflera_morototoni;361;196;240244724,435747;238100487,8178;25750025,5160154
Matisia_ochrocalyx;453;103;238872199,575788;237411657,9394;40520770,4319629
Poraqueiba_guianensis;911;135;229617977,533495;237370482,7814;25231192,8032789
Alchornea_triplinervia;265;65;239892009,360319;237070795,8699;111779213,528368
Myrcia_multiflora;263;37;227396315,464508;237004993,98874;89116068,1729734
Iryanthera_elliptica;326;100;235731647,538349;236588344,4682;46342389,0602695
Ouratea_discophora;363;63;231095475,07548;236206970,6155;63545147,377152
Pausandra_trianae;541;57;228779908,935243;235095114,05444;51916536,7868059
Duguetia_spixiana;443;68;234084786,634391;234137831,56514;52530152,5226121
Tapura_juruana;297;90;232945362,036264;233688748,0256;43919474,6081927
Guapira_venosa;318;27;231573447,622544;233090999,76842;61771559,2712655
Ocotea_cinerea;375;92;233568679,328218;232271144,2498;51123172,5507854
Iryanthera_sagotiana;998;126;231522249,876314;231799732,2738;39771819,5953672
Paramachaerium_ormosioides;353;48;231710103,15011;231688417,90792;71747948,7708388
Casearia_gossypiosperma;350;49;230187892,68117;231618225,637;49185391,8916796
Sterculia_excelsa;401;148;230295435,858351;231266969,5668;28518366,733992
Parkia_multijuga;331;153;233628544,269135;230994106,3352;27550014,5254566
Caraipa_punctulata;199;29;212272110,979493;229032951,93478;141853623,412249
Dicorynia_guianensis;1114;100;224796129,107754;228106758,7346;32591694,3369046
Unonopsis_floribunda;526;94;230973227,857114;227441900,8646;34487543,2334261
Digomphia_densicoma;199;1;199058685,314234;227320895,3024;210838185,048571
Mouriri_apiranga;258;44;233912825,242091;225833011,45306;106938113,91811
Sarcaulus_brasiliensis;597;165;223526124,650165;225023166,4878;29137505,6515477
Manilkara_elata;422;128;219464660,445031;224372999,8834;36486507,745605
Perebea_mollis;216;101;225062782,031269;224010770,748;38844134,1792784
Iryanthera_hostmannii;386;103;224997225,949871;223549539,2736;38458666,8140342
Pseudoxandra_polyphleba;240;46;215762960,716894;223041760,8678;49543904,1546134
Zygia_cauliflora;271;24;227216240,110177;222326225,95054;82505008,7604444
Alexa_grandiflora;265;19;215909207,515424;221021157,8124;59624115,7922689
Capirona_decorticans;364;101;215863335,475263;219572542,9502;35669168,027189
Chrysophyllum_argenteum;395;150;225995406,44388;219306636,3498;32094527,9570147
Eschweilera_andina;304;59;213430353,670187;219254103,86548;65782684,3169942
Lacistema_aggregatum;329;146;217692132,747636;218590054,9866;28405142,8480433
Pouteria_glomerata;314;75;208827938,659179;218100518,95346;53933340,766968
Hymenaea_courbaril;284;137;219104726,637257;217748476,104;25987581,3182009
Anaueria_brasiliensis;148;28;226871847,02978;217398337,0299;92622382,2288766
Roucheria_columbiana;363;126;214647845,943368;215053807,3172;28715035,1665219
Garcinia_madruno;309;153;213473805,595157;214932084,0742;32128647,9706267
Mabea_subsessilis;141;26;210097263,119434;213089473,5247;103525058,204748
Iryanthera_macrophylla;323;65;214389683,52375;213050210,29516;63535806,6798176
Cordia_exaltata;388;129;215457831,930577;212667871,4114;29534633,5564671
Quararibea_ochrocalyx;237;68;216898451,296706;212304408,4092;38156811,1440547
Lecythis_lurida;254;54;211793420,857002;212242834,9062;35118142,3807269
Otoba_glycycarpa;613;61;210890928,57398;212237588,24652;45134806,8954027
Trymatococcus_amazonicus;332;155;216704925,356033;211627700,1356;28517403,4793672
Oenocarpus_mapora;374;83;208723417,303759;211618210,7142;33648220,798517
Trattinnickia_rhoifolia;241;102;207399393,591786;211115854,2956;36400496,3456304
Pouteria_pallens;74;21;201503174,136311;209747590,692974;119182648,72085
Licania_kunthiana;310;76;210500928,471423;209701089,72518;54360356,3922666
Rinorea_viridifolia;505;56;203746699,581509;209426514,6551;55701764,1338846
Vitex_cymosa;359;30;206266222,311345;208871218,26706;87655232,574104
Myrcia_amazonica;315;42;202549586,613809;208814211,273;74122222,9361648
Matisia_cordata;463;51;212539508,293144;208270854,18102;46808935,0845754
Tachigali_glauca;334;109;211890971,254129;208058882,521;28737645,0173704
Astronium_graveolens;218;78;208532256,729353;207898923,87252;54900929,860881
Euterpe_catinga;255;8;206002113,790165;207303240,964238;102445143,242786
Brosimum_acutifolium;255;139;205628600,491347;206740615,158;27522956,0585872
Inga_nobilis;447;128;204984940,506603;206410052,184;31225909,350499
Discocarpus_essequeboensis;223;14;199939907,024387;204632837,0379;73589557,7551669
Protium_goudotianum;238;64;206334662,979707;203612699,3298;39606645,3378364
Ormosia_paraensis;229;101;202477173,140153;203030240,10002;39068473,3372388
Ocotea_aurantiodora;311;93;197692402,980083;203002414,3884;32278992,6246467
Piranhea_trifoliata;204;24;210970071,640684;202996383,03928;54230924,460609
Tapura_amazonica;444;162;202966356,411764;202733391,275;30404499,9830027
Senegalia_polyphylla;166;35;202573634,263745;201762834,55554;64548322,6027029
Casearia_javitensis;464;207;198673990,259439;201204776,7108;17935992,2899774
Brosimum_parinarioides;264;159;202072121,168289;200626284,513;30623060,163212
Maquira_sclerophylla;253;110;204841404,57976;200615886,7362;36377642,881454
Micrandra_glabra;372;3;196533718,53062;199443757,214398;188744896,031249
Mouriri_grandiflora;308;62;192813677,909807;198494563,56874;47341905,5248935
Zanthoxylum_rhoifolium;113;51;197023413,457244;197496200,20876;34525297,4621346
Nectandra_cuspidata;219;72;193610693,557232;197176865,02432;53016654,4531769
Alexa_imperatricis;399;18;196356908,128989;195683221,9721;61191668,9471059
Cecropia_distachya;361;117;192967184,711134;195350462,282;25603784,7591078
Eschweilera_itayensis;275;51;198581339,740425;194868199,77122;45655791,1120651
Zygia_latifolia;603;68;192572962,436351;194780015,9778;36597527,2018041
Iriartella_setigera;127;9;199139427,01835;194668232,825372;105528943,254413
Poincianella_pluviosa;274;6;191205233,132349;194543056,5875;66519680,0434377
