Accepted_species;n.ind;n.plots;est.ind;population.mean;population.sd
Acanthosyris_annonagustata;7;3;1302138,57366365;1509225,7245416;972366,045475803
Botryarrhena_venezuelensis;3;2;1449970,26952198;1508983,3654204;1133683,0876259
Henriettea_succosa;6;3;1455382,35540897;1506248,6566042;1035587,30976304
Piptocarpha_poeppigiana;3;2;1459231,1834587;1504934,3944854;1188066,48925033
Richeria_dressleri;4;2;1634423,51039468;1499732,9579722;1353453,85744906
Protium_macrocarpum;3;1;1389053,81604268;1494723,077116;1400611,4700964
Elizabetha_paraensis;6;1;1534296,82746077;1493148,871402;1470649,94473243
Bellucia_umbellata;3;2;1494953,35627251;1491690,5533798;1081331,77020507
Ficus_tonduzii;2;2;1426886,97171633;1490891,05357004;1313757,47931917
Tovomita_obscura;5;2;1541628,242734;1484744,7558054;992671,258931273
Dipteryx_lacunifera;1;1;1839115,15783242;1482791,07643;1110640,80466421
Parkia_reticulata;5;4;1511018,567714;1478085,2509118;708332,940909732
Chrysophyllum_ovale;5;3;1485911,45038188;1477519,9391876;969221,479070753
Allophylus_angustatus;7;7;1464655,81982435;1476262,75435696;578257,470495664
Tetrameranthus_duckei;6;5;1458030,04200382;1474162,864408;680543,367883415
Ormosia_melanocarpa;11;6;1477667,41998024;1470676,86940042;907888,983248149
Pterogyne_nitens;2;1;1485492,2666992;1470604,7729486;1333437,53471352
Ocotea_whitei;2;2;1428159,88701024;1469035,5223624;1107163,70882123
Ocotea_silvae;2;1;1490759,98110473;1466935,7729;1479562,77360203
Duguetia_paraensis;3;2;1560443,14131807;1460329,4560298;1109708,84558248
Hirtella_duckei;2;1;1391480,2013144;1459446,93155;1408311,82625978
Schizocalyx_peruvianus;3;2;1433134,63324446;1459194,2324052;1259220,23971714
Vismia_cauliflora;2;2;1700367,69525466;1457555,7254136;1141578,62953736
Cosmibuena_grandiflora;6;5;1361851,12432019;1457106,215721;649964,285246452
Inga_yasuniana;4;3;1441030,70867118;1448994,2329248;844642,97236055
Tovomita_tenuiflora;3;3;1497981,20587453;1445705,1884276;1033456,42262781
Oxandra_macrophylla;1;1;1523720,82379845;1443269,654112;1562632,77048933
Senefelderopsis_chiribiquetensis;2;1;1446769,7781832;1442878,563724;1516574,1884241
Ficus_macbridei;6;5;1415227,46484546;1441151,21678724;675219,555667338
Inga_megalobotrys;4;1;1441570,2218421;1438552,153276;1446722,05610896
Clathrotropis_brunnea;2;1;1425667,20843286;1436802,6808228;1418171,22778383
Hylenaea_comosa;2;1;1465590,94473636;1436500,598358;1378920,66383643
Luehea_divaricata;4;2;1330746,93586299;1430689,6823848;1026909,78428209
Coussapoa_longepedunculata;4;3;1372767,41027615;1428505,2087254;912929,05598477
Byrsonima_coccolobifolia;4;2;1327273,51835763;1427176,981919;1364228,77066566
Duguetia_macrophylla;5;3;1349049,05554822;1426826,87393386;1041820,18075421
Bellucia_ovata;2;1;1458071,92342237;1424735,393804;1474786,58821762
Ormosia_smithii;1;1;1839115,15783242;1419961,289052;1203461,01386042
Guatteria_tomentosa;2;2;1375314,78378037;1418106,841433;1014654,11345587
Platymiscium_pubescens;3;3;1439992,32952767;1418074,4616452;837422,054699867
Miconia_appendiculata;2;1;1458071,92342237;1416846,294562;1336023,78394326
Inga_ilta;9;6;1341065,37996683;1415876,8617716;659563,134784884
Moronobea_pulchra;2;2;1429384,21764175;1414789,75845182;1308488,39056409
Cinnamodendron_tenuifolium;1;1;1482734,13937968;1414301,466904;1410966,4369929
Conceveiba_maynasensis;2;2;1341753,76572237;1410242,4790848;1006218,09812322
Chloroleucon_acacioides;2;2;1375594,25154786;1408282,3091208;854857,855830617
Zanthoxylum_caribaeum;3;3;1606553,52768823;1406714,2972566;812410,361083413
Platycarpum_duckei;3;1;1389053,81604268;1401121,614208;1401528,33990397
Vismia_glabra;1;1;1457571,9017235;1395697,214086;1399745,84611562
Vismia_lauriformis;5;2;1366257,66198373;1395086,7005522;1054973,28921057
Inga_acicularis;2;2;1401881,31651718;1392034,5610538;993076,499192357
Coussarea_longiflora;1;1;1403390,40090819;1389336,339948;1303230,69228971
Inga_grandis;1;1;1549721,7012291;1387139,797378;1177625,40069628
Mosannona_raimondii;1;1;1549721,7012291;1386184,90626;1206403,63039854
Inga_sarayacuensis;7;3;1351376,65216915;1383818,4133622;911606,957828529
Hirtella_brachystachya;4;2;1312510,66685979;1383555,3820868;921290,95920566
Henriettea_seemannii;2;1;1353778,54788828;1383272,4053604;1372046,62428935
Simaba_cavalcantei;4;2;1392749,35073922;1382510,3102792;1044420,92464944
Remijia_roraimae;5;2;1427632,76701495;1380549,8810994;1211635,40549386
Matayba_spruceana;6;2;1322678,26532136;1378145,104945;945340,965053748
Piper_hispidum;2;2;1271533,09944696;1376630,8315378;959611,988256888
Quiina_blackii;1;1;1414154,04634958;1375242,692414;1427316,22869972
Daphnopsis_equatorialis;7;4;1251520,94133809;1371749,3321366;756002,40306724
Eugenia_amblyosepala;2;2;1358131,70728928;1371491,7058194;882519,872713623
Marlierea_subulata;3;2;1432718,55723101;1369180,3325748;948303,412173236
Erythrina_verna;1;1;1403390,40090819;1369136,94458;1307506,80874025
Cremastosperma_gracilipes;3;2;1252457,69777669;1368469,610867;1166582,6002285
Pachira_trinitensis;3;3;1383826,42269629;1367915,8277244;755776,084409492
Deguelia_densiflora;4;2;1450102,26700405;1366998,9398354;1122000,56881435
Miconia_pulverulenta;1;1;1270665,79221225;1364729,70767;1307126,16367224
Ocotea_cuprea;3;3;1373338,70867029;1364049,207809;769674,481618177
Tachigali_chrysaloides;12;1;1139456,77450456;1355824,8382372;1350119,81576541
Ficus_membranacea;2;2;1286648,74719693;1353282,0528278;891896,88905969
Ladenbergia_lambertiana;2;1;1353778,54788828;1351850,8005922;1303512,4494708
Miconia_acutifolia;1;1;1384906,41229374;1350196,9659886;1259885,01764929
Capparidastrum_macrophyllum;4;2;1362854,02896957;1349823,3909432;972647,522084002
Eugenia_macrosperma;1;1;1303238,24201582;1345151,4663132;1300310,79775143
Brosimum_longifolium;3;3;1270774,50478304;1343726,8303826;788241,884811803
Inga_lomatophylla;7;6;1566125,58375334;1342974,5043114;517286,91917636
Lacistema_hasslerianum;4;1;1277696,02650867;1342488,2504174;1293341,3649361
Miconia_decurrens;4;4;1229137,67613446;1338306,9784472;787168,729553537
Cybianthus_venezuelanus;1;1;1313959,31007819;1334515,6114688;1255139,71325228
Matisia_arteagensis;1;1;1298564,7130904;1330854,9313056;1384269,14148041
Ocotea_sandwithii;5;4;1290818,75420702;1328231,389724;715361,350333773
Lonchocarpus_hedyosmus;2;1;1359704,90967078;1327883,513178;1296362,48480475
Porcelia_mediocris;6;6;1223602,81438492;1326858,1227586;661996,766909918
Simira_wurdackii;8;4;1218915,80612069;1325849,40224672;740475,653763836
Vismia_confertiflora;2;2;1212164,58945517;1321766,384987;1061797,56976098
Ladenbergia_acutifolia;2;1;1454639,86202029;1319193,916762;1311713,54496179
Mosannona_papillosa;1;1;1219227,69985604;1318561,571997;1224528,07927785
Abarema_acreana;1;1;1549721,7012291;1317703,962406;1224930,21152932
Bellucia_spruceana;5;5;1311733,91487327;1310694,2121344;660725,108449602
Nectandra_oppositifolia;7;5;1208823,79113313;1301367,143847;617993,08463627
Pleurothyrium_cinereum;5;4;1266591,46176946;1300268,214242;700287,312395616
Cecropia_ulei;5;4;1297926,56514225;1296823,3280088;677023,033144512
Marlierea_imperfecta;3;2;1184588,97761443;1296280,7857184;1017932,05093404
Clusia_nigrolineata;2;2;1335867,39450677;1295542,2324528;981522,239018802
Coussarea_hydrangeifolia;3;3;1306307,67966698;1293023,5985222;789810,729699824
Pradosia_subverticillata;1;1;1319170,54231467;1287494,5795084;1275478,2694694
Sextonia_pubescens;2;2;1303939,1148747;1285131,3636244;919276,026757079
Pouteria_lucuma;5;2;1194845,21402796;1282298,1376894;896430,046973601
Coussapoa_sprucei;1;1;1605317,92013698;1279582,856072;1120387,69629097
Aldina_macrophylla;1;1;1173708,14942193;1273009,1956758;1197053,64370014
Byrsonima_verbascifolia;2;1;1166885,93982448;1272799,017592;1322159,68656216
Inga_virgultosa;6;4;1279294,51810944;1271765,2608112;636315,58119142
Diospyros_glomerata;2;2;1172485,26166125;1266030,7763896;892648,535643797
Guatteria_ouregou;5;3;1251997,7899565;1263669,273204;665578,777982454
Rudgea_bracteata;7;4;1211678,87091227;1262013,8824062;738489,718280212
Garcinia_albuquerquei;1;1;1443024,97307692;1261288,9140164;1117089,92854826
Vochysia_boliviana;4;3;1269650,32101943;1260399,44422576;866325,009809241
