Species;population;N ind;N plots
Diospyros_rotok;779061,288367631;2;1
Diospyros_santaremnensis;31030851,7025725;199;11
Diospyros_sericea;16244963,9209761;39;18
Diospyros_tetrandra;37174883,0862303;244;13
Diospyros_vestita;66468991,1786162;349;74
Diplokeleba_floribunda;702289,87195209;1;1
Diploon_cuspidatum;17580911,9808532;78;39
Diplotropis_brasiliensis;3082445,93058185;7;5
Diplotropis_martiusii;129698886,27599;371;78
Diplotropis_peruviana;4717040,01906214;5;3
Diplotropis_purpurea;255333570,839547;605;254
Diplotropis_triloba;6228941,68914802;90;21
Dipteryx_alata;42420905,8132557;98;38
Dipteryx_ferrea;15380455,7636406;11;4
Dipteryx_lacunifera;1779773,82223576;1;1
Dipteryx_magnifica;42687243,5835652;273;94
Dipteryx_micrantha;21431511,446894;53;40
Dipteryx_odorata;196895436,539358;736;268
Dipteryx_polyphylla;43349144,6186611;51;32
Dipteryx_punctata;18410261,8271248;67;48
Dipteryx_rosea;5355618,91438709;6;3
Diptychandra_aurantiaca;6743331,86315017;15;2
Discocarpus_essequeboensis;205711938,096012;443;43
Discocarpus_spruceanus;89759217,0644606;92;18
Discophora_guianensis;64710692,4075858;238;79
Dodecastigma_amazonicum;6958517,67331373;18;10
Dodecastigma_integrifolium;124980274,757847;241;22
Douradoa_consimilis;302339,154432112;2;2
Drypetes_amazonica;445545493,499455;880;152
Drypetes_fanshawei;30592280,7931604;175;51
Drypetes_gentryi;11980139,1122159;44;19
Drypetes_variabilis;294292818,869111;908;265
Duckeodendron_cestroides;18695266,347638;106;67
Duckesia_verrucosa;35444668,0189253;151;56
Duguetia_arenicola;547861,862986411;2;2
Duguetia_argentea;22335768,4132517;25;13
Duguetia_asterotricha;1974737,77685432;5;4
Duguetia_cadaverica;6583910,84994871;23;9
Duguetia_calycina;39053146,9495725;186;72
Duguetia_cauliflora;19677179,7839029;40;29
Duguetia_chrysea;5802269,20192627;35;19
Duguetia_decurrens;4583829,18629651;26;1
Duguetia_dimorphopetala;3805009,34322816;5;1
Duguetia_duckei;3195453,40580929;5;2
Duguetia_echinophora;108967356,10538;985;109
Duguetia_flagellaris;68353671,1072724;73;26
Duguetia_furfuracea;9397700,75825261;52;4
Duguetia_hadrantha;4728192,72502109;24;15
Duguetia_latifolia;1981559,48785199;4;4
Duguetia_lepidota;23464880,0019024;72;5
Duguetia_longicuspis;5453151,46962024;17;6
Duguetia_lucida;35643087,5908377;64;12
Duguetia_macrophylla;991884,752708947;5;3
Duguetia_manausensis;4916442,84064748;60;20
Duguetia_marcgraviana;145915036,032622;287;37
Duguetia_megalocarpa;11372378,3875459;38;27
Duguetia_neglecta;13775651,7846795;65;19
Duguetia_odorata;54458118,5861551;75;25
Duguetia_paraensis;1323389,00987927;3;2
Duguetia_pauciflora;405051,930206401;2;1
Duguetia_pycnastera;111784360,614368;314;69
Duguetia_quitarensis;76190808,41897;207;75
Duguetia_riparia;1712471,0192151;3;3
Duguetia_sancticaroli;6264450,33241074;8;3
Duguetia_spixiana;193986617,393807;524;89
Duguetia_stelechantha;64834680,8544184;306;104
Duguetia_stenantha;3683521,51872495;9;7
Duguetia_surinamensis;59412110,9003878;237;99
Duguetia_trunciflora;27219473,0611159;104;21
Duguetia_ulei;4323609,99754274;10;9
Duguetia_uniflora;38218865,762956;130;10
Duguetia_yeshidan;1469004,42079089;5;2
Dulacia_candida;31487376,636828;259;90
Dulacia_egleri;3172760,9569214;54;8
Dulacia_guianensis;34296494,0516381;89;60
Dulacia_inopiflora;2446005,04293121;4;3
Duroia_aquatica;15995998,4871665;100;46
Duroia_bolivarensis;9310868,35358281;15;10
Duroia_duckei;102301905,901566;187;32
Duroia_eriopila;63573889,4635094;199;61
Duroia_genipoides;48275640,8163577;105;25
Duroia_gransabanensis;23169430,9019079;31;12
Duroia_hirsuta;13643954,7364732;35;18
Duroia_longiflora;22385156,1264269;133;46
Duroia_longifolia;3218950,50840877;7;4
Duroia_macrophylla;73213089,3282909;787;118
Duroia_maguirei;20958397,8699709;32;13
Duroia_martiniana;390776,228140012;1;1
Duroia_micrantha;30669542,7047107;144;17
Duroia_nitida;56173670,7873555;107;9
Duroia_paraensis;17245386,2639784;20;6
Duroia_petiolaris;20299417,767833;35;8
Duroia_prancei;14027677,7981638;172;12
Duroia_saccifera;46286792,1340318;244;71
Duroia_velutina;139839361,495686;480;11
Dussia_discolor;7105390,89522514;37;20
Dussia_tessmannii;40501517,9316829;92;67
Dystovomita_paniculata;9226030,25222312;17;3
Ecclinusa_bullata;18818655,9432993;28;8
Ecclinusa_guianensis;679780373,428054;2508;427
Ecclinusa_lanceolata;77587637,0418972;175;75
Ecclinusa_lancifolia;11301517,5283041;38;15
Ecclinusa_orinocoensis;333350,848483407;1;1
Ecclinusa_parviflora;550098,191419626;1;1
Ecclinusa_ramiflora;109524799,71138;614;114
Elaeagia_maguirei;2901298,22556835;3;2
Elaeagia_pastoensis;74046,2621759907;1;1
Elaeagia_utilis;522770,866044259;1;1
Elaeodendron_xylocarpum;1816519,3197146;3;2
Elaeoluma_crispa;10478135,8686874;23;2
Elaeoluma_glabrescens;179464562,343975;324;40
Elaeoluma_nuda;13472966,6822081;55;31
Elaeoluma_schomburgkiana;29253817,3667857;44;12
Elizabetha_bicolor;298381,327022391;2;2
Elizabetha_duckei;14929362,5330669;20;12
Elizabetha_macrostachya;931516,394296207;2;1
Elizabetha_paraensis;1051085,68666394;6;1
Elizabetha_princeps;64398233,7157309;192;10
Elizabetha_speciosa;14721062,3993282;28;12
Elvasia_calophyllea;24534798,6877795;104;3
Elvasia_canescens;37086638,4876616;73;3
Elvasia_elvasioides;47237627,0554577;237;6
Elvasia_macrostipularis;7373113,33612641;139;4
Elvasia_quinqueloba;58429193,0147574;304;5
Emmotum_acuminatum;43840780,7873421;93;34
Emmotum_fagifolium;32888167,6592724;134;42
Emmotum_floribundum;106530245,606659;217;26
Emmotum_glabrum;3928756,64371199;2;2
Emmotum_nitens;52223984,7139342;201;42
Emmotum_orbiculatum;9787997,04243763;39;8
Endlicheria_anomala;71046891,3700317;113;30
Endlicheria_arenosa;8433637,63964285;18;8
Endlicheria_arunciflora;9448239,514278;11;4
Endlicheria_aurea;1513593,96014716;11;8
Endlicheria_bracteata;19613363,6908007;36;25
Endlicheria_bracteolata;35768141,3221243;108;25
Endlicheria_canescens;10722037,1255914;37;16
Endlicheria_chalisea;5934031,72321411;24;16
Endlicheria_citriodora;12735845,0844132;38;16
Endlicheria_cocuirey;2142069,72364173;6;2
Endlicheria_directonervia;3174262,5181599;8;7
Endlicheria_dysodantha;6133729,46469179;18;15
Endlicheria_ferruginosa;821597,906661524;2;1
Endlicheria_formosa;50515259,5124156;107;62
Endlicheria_gracilis;499106,139863559;3;3
Endlicheria_griseosericea;1866097,00924717;3;2
Endlicheria_klugii;14885064,9413997;30;18
Endlicheria_krukovii;21883337,6466451;55;38
Endlicheria_levelii;15025274,5767235;66;5
Endlicheria_lorastemon;562591,235270826;4;3
Endlicheria_macrophylla;27099390,2853635;50;20
Endlicheria_melinonii;4215634,34102131;24;20
Endlicheria_metallica;6886258,40276972;28;14
Endlicheria_mishuyacensis;4221684,49513805;13;7
Endlicheria_multiflora;10996322,5028419;14;7
Endlicheria_paniculata;47070941,1572011;83;33
Endlicheria_punctulata;4762282,0521698;14;11
Endlicheria_pyriformis;13973701,4100221;20;12
Endlicheria_robusta;6390469,10198779;13;5
Endlicheria_rubriflora;1778180,51463227;5;5
Endlicheria_ruforamula;21989423,8447289;42;21
Endlicheria_sericea;29498889,6838971;55;26
Endlicheria_sprucei;7036066,29813786;56;20
Endlicheria_szyszylowiczii;852901,187821154;5;5
Endlicheria_tessmannii;4202224,22684217;11;8
Endlicheria_tschudyana;2691685,24864245;13;5
Endlicheria_verticillata;13276525,772053;25;14
Endlicheria_williamsii;18096977,3569723;41;18
Endopleura_uchi;162936123,952658;1432;187
Enterolobium_barnebianum;7383951,49588223;17;10
Enterolobium_contortisiliquum;6920714,99619196;13;6
Enterolobium_cyclocarpum;4385429,60097259;17;13
Enterolobium_maximum;38515964,3022176;174;42
Enterolobium_oldemanii;2400334,20618809;20;16
Enterolobium_schomburgkii;220288195,944312;638;238
Eperua_bijuga;38658864,4110606;161;34
Eperua_duckeana;59328420,2356234;227;38
Eperua_falcata;1425708415,11314;6380;147
Eperua_glabra;687756,844993636;1;1
Eperua_glabriflora;88232921,6385241;529;103
Eperua_grandiflora;325139780,28026;1641;57
Eperua_jenmanii;143668272,429891;323;11
Eperua_leucantha;1238548353,70052;1574;23
Eperua_purpurea;570272344,077698;732;23
Eperua_rubiginosa;87575588,0527137;588;10
Eperua_schomburgkiana;19732603,9319448;71;12
Eperua_venosa;4064458,50330959;8;2
Ephedranthus_amazonicus;50426457,1901264;158;79
Ephedranthus_guianensis;25449764,7105188;59;20
Ephedranthus_parviflorus;21321606,9238044;83;7
Ephedranthus_pisocarpus;5148096,05867875;8;3
Eriotheca_candolleana;3001573,87734385;5;3
Eriotheca_crassa;374934,620333505;14;2
Eriotheca_discolor;10394507,0596575;15;2
Eriotheca_globosa;119310394,524076;385;168
Eriotheca_gracilipes;9525595,32498265;41;7
Eriotheca_longipedicellata;58865099,081621;202;81
Eriotheca_longitubulosa;14760905,7392454;57;36
Eriotheca_loretensis;435560,24121283;1;1
Eriotheca_macrophylla;59014245,4229804;99;47
Eriotheca_roseorum;1853270,64092018;3;2
Eriotheca_surinamensis;11456194,1468279;34;19
Erisma_bicolor;97355373,3601843;224;109
Erisma_blancoa;1268686,85558256;1;1
Erisma_bracteosum;16156890,4128544;36;21
Erisma_calcaratum;189079250,870339;370;40
Erisma_floribundum;6023824,0660151;9;6
Erisma_fuscum;10535714,4891139;27;13
Erisma_gracile;1570915,98773489;12;8
Erisma_japura;55340422,5747293;98;11
Erisma_laurifolium;134141667,014561;298;50
Erisma_micranthum;7144686,87289257;11;3
Erisma_nitidum;2043427,32532052;18;4
Erisma_splendens;44485009,133678;92;26
Erisma_uncinatum;333536486,236099;815;184
Erythrina_amazonica;2407415,61621468;8;8
Erythrina_dominguezii;11205730,3265021;5;2
Erythrina_fusca;25270227,196775;41;7
Erythrina_poeppigiana;8554746,4297176;19;9
Erythrina_ulei;17476793,1619507;34;11
Erythrina_velutina;537247,958074849;1;1
Erythrina_verna;1005671,7564628;1;1
Erythroxylum_amazonicum;4100623,03649546;11;8
Erythroxylum_amplum;6366,87681106957;2;2
Erythroxylum_anguifugum;9742921,65638926;41;7
Erythroxylum_campinense;6813788,72343371;7;1
Erythroxylum_citrifolium;36159099,1629177;75;38
Erythroxylum_daphnites;2971732,71088753;6;3
Erythroxylum_divaricatum;219894,99801367;1;1
Erythroxylum_gracilipes;8447061,22709543;19;9
Erythroxylum_havanense;31538128,7353442;44;7
Erythroxylum_impressum;2958761,07735217;5;3
Erythroxylum_kapplerianum;16349542,0838748;24;13
Erythroxylum_ligustrinum;219297,944616976;2;2
Erythroxylum_macrophyllum;15691884,2913525;47;31
Erythroxylum_mucronatum;3401761,26105025;9;8
Erythroxylum_rufum;8328536,23972243;17;9
Erythroxylum_ruryi;1476248,96834829;4;1
Erythroxylum_shatona;4251733,65816893;5;2
Erythroxylum_spruceanum;38990661,0460546;178;9
Erythroxylum_squamatum;11615266,0325413;19;11
Erythroxylum_suberosum;755082,269405287;1;1
Erythroxylum_subrotundum;325031,718361816;4;1
Erythroxylum_tucuruiense;1500578,34923654;4;3
Erythroxylum_ulei;894557,188519802;1;1
Erythroxylum_umbu;521987,199380828;3;2
Erythroxylum_vasquezii;389530,644183816;1;1
Eschweilera_alata;98965607,2731125;303;31
Eschweilera_albiflora;917143040,213718;1231;129
Eschweilera_amazonica;538110226,719591;2983;182
Eschweilera_amazoniciformis;73072650,8680799;220;39
Eschweilera_andina;186028584,586882;338;70
Eschweilera_apiculata;50647205,5354471;210;74
Eschweilera_atropetiolata;521717982,29654;2203;257
Eschweilera_bracteosa;617920244,940581;1913;230
Eschweilera_carinata;94139372,5873929;76;31
Eschweilera_chartaceifolia;101800279,2206;226;67
Eschweilera_collina;220060954,041829;954;154
Eschweilera_coriacea;4924175087,33485;15369;911
Eschweilera_cyathiformis;105899807,762743;297;59
Eschweilera_decolorans;239038265,0858;1044;118
Eschweilera_eperuetorum;22307074,3703691;133;29
Eschweilera_gigantea;135865122,96542;314;82
Eschweilera_grandiflora;890645870,699681;3309;332
Eschweilera_integrifolia;18744354,497881;25;3
Eschweilera_itayensis;240975439,76717;490;87
Eschweilera_juruensis;42774601,3968084;106;38
Eschweilera_laevicarpa;74298221,8212664;224;59
Eschweilera_longipedicellata;112094,353974407;1;1
Eschweilera_macrocarpa;4372004,25412758;8;2
Eschweilera_micrantha;209055156,975878;1324;155
Eschweilera_nana;13290703,1166773;27;3
Eschweilera_obversa;5919982,91970529;65;23
Eschweilera_ovalifolia;209048674,842956;332;60
Eschweilera_ovata;87803060,9515495;410;35
Eschweilera_paniculata;7842208,37586192;12;2
Eschweilera_parviflora;489971690,739994;1575;120
Eschweilera_parvifolia;532760493,274803;1336;120
Eschweilera_pedicellata;484841615,647906;1887;295
Eschweilera_piresii;13135111,2812504;55;17
Eschweilera_pittieri;1413738,14193154;2;1
Eschweilera_pseudodecolorans;113044579,396626;294;90
Eschweilera_punctata;193005053,702164;356;29
Eschweilera_rankiniae;7651149,04079498;72;34
Eschweilera_revoluta;3497331,74845859;4;4
Eschweilera_rhododendrifolia;48983071,5203549;158;56
Eschweilera_rionegrense;4446787,49636344;4;1
Eschweilera_romeu-cardosoi;106092404,588885;372;82
Eschweilera_rufifolia;172050635,434263;491;110
Eschweilera_sagotiana;502921443,936346;2626;95
Eschweilera_sessilis;761699,018983445;1;1
Eschweilera_squamata;4019576,88625547;28;13
Eschweilera_subglandulosa;196075439,414155;584;52
Eschweilera_tenuifolia;255493555,33528;565;35
Eschweilera_tessmannii;659479481,263998;1273;222
Eschweilera_truncata;507420740,896369;579;89
Eschweilera_wachenheimii;649384220,686993;1809;176
Esenbeckia_almawillia;22757992,4622521;22;1
Esenbeckia_amazonica;36990970,3133018;71;31
Esenbeckia_cowanii;1106728,44817603;3;3
Esenbeckia_grandiflora;21723538,2594225;21;1
Esenbeckia_leiocarpa;5513480,77278997;5;2
Esenbeckia_pilocarpoides;1534319,05469904;2;2
Etaballia_dubia;52242563,6446945;65;14
Euceraea_nitida;1506939,97814375;3;1
Eugenia_acrensis;5925625,76302094;6;4
Eugenia_agathopoda;3829603,99195245;16;14
Eugenia_amblyosepala;1023246,54051502;3;3
Eugenia_anastomosans;14623896,7701647;34;23
Eugenia_arawakorum;6532921,22207408;33;8
Eugenia_armeniaca;515486,087652442;1;1
Eugenia_atroracemosa;372120,871353903;1;1
Eugenia_aurata;187644,332637846;3;1
Eugenia_belemitana;8064739,47532099;115;31
Eugenia_biflora;61042451,2346421;81;27
Eugenia_brownsbergii;11385870,1550962;136;17
Eugenia_chartacea;255808,226992355;3;3
Eugenia_chrysophyllum;3243594,43341432;10;5
Eugenia_citrifolia;17264931,1952084;59;34
Eugenia_coffeifolia;46797723,5449092;125;50
Eugenia_cowanii;1856664,47222643;1;1
Eugenia_cucullata;1723935,17542198;13;11
Eugenia_cupulata;80528852,7571277;571;101
Eugenia_cuspidifolia;18069699,8726444;41;35
Eugenia_diplocampta;3752833,88711465;7;3
Eugenia_discreta;7463578,34577317;20;6
Eugenia_dittocrepis;5129782,4237481;14;8
Eugenia_dysenterica;876292,624794304;3;1
Eugenia_egensis;14948730,6177125;44;24
Eugenia_essequiboensis;363809,592841224;2;1
Eugenia_exaltata;15796137,8561038;66;24
Eugenia_excelsa;2158155,10927535;12;8
Eugenia_ferreiraeana;18159998,4886964;22;4
Eugenia_flavescens;9529503,07943765;253;39
Eugenia_florida;215004852,11209;452;165
Eugenia_galalonensis;320278,077638494;2;2
Eugenia_gomesiana;16637702,3662963;30;11
Eugenia_gongylocarpa;3183239,5451819;9;8
Eugenia_heterochroma;4966525,73717919;17;15
Eugenia_hiemalis;326366,53729697;1;1
Eugenia_illepida;11138507,4557062;11;3
Eugenia_lambertiana;26599421,7150668;79;39
Eugenia_latifolia;392291,162377284;5;4
Eugenia_ligustrina;17575020,8120316;28;6
Eugenia_limbosa;252846,696476953;1;1
Eugenia_longiracemosa;2654063,68072772;14;10
Eugenia_macrosperma;836742,062699322;1;1
Eugenia_magna;74369,4526277393;1;1
Eugenia_marowynensis;14354482,8465102;24;10
Eugenia_mimus;256928,124816166;1;1
Eugenia_moschata;45967311,5584329;133;84
Eugenia_multirimosa;470699,437740343;3;2
Eugenia_myrobalana;3701591,21466958;7;7
Eugenia_nesiotica;3582888,95192858;10;4
Eugenia_ochrophloea;26216652,2444261;45;15
Eugenia_oerstediana;136822,887272195;1;1
Eugenia_omissa;37161648,9970948;276;78
Eugenia_paracatuana;7411838,15868914;8;2
Eugenia_patens;23829617,1082896;67;42
Eugenia_patrisii;136952933,88427;662;209
Eugenia_polystachya;3850851,98003605;19;15
Eugenia_producta;337542,1033774;1;1
Eugenia_protenta;11071082,2272769;37;8
Eugenia_pseudopsidium;42769262,2867209;91;59
Eugenia_pubescens;2203218,09598193;3;3
Eugenia_punicifolia;35256771,260113;145;11
Eugenia_quadrijuga;220936,848705738;3;2
Eugenia_ramiflora;48612739,3575874;383;91
Eugenia_rufidula;2309862,43892873;13;1
Eugenia_schunkei;6007906,01706548;25;16
Eugenia_spruceana;196236,779855113;1;1
Eugenia_stictopetala;64057543,4968693;190;58
Eugenia_stipitata;1198789,1321675;5;3
Eugenia_stylaris;29183652,5252866;32;7
Eugenia_tetramera;6731834,5428747;37;17
Eugenia_tetrasticha;399832,874068918;2;2
Eugenia_uniflora;4949636,40442035;17;10
Eugenia_wentii;12532417,640045;33;13
Eugenia_wullschlaegeliana;308807,852509665;2;2
Eugenia_yasuniana;340686,097863816;3;3
Euphronia_guianensis;7971522,58215612;9;3
Euphronia_hirtelloides;5530814,83595798;10;4
Euplassa_inaequalis;4778634,24739898;16;6
Euplassa_occidentalis;439107,627196693;2;2
Euplassa_pinnata;7924780,2579085;28;13
Euterpe_catinga;211918453,02001;287;12
Euterpe_edulis;370501,777228263;1;1
Euterpe_longebracteata;7088999,06707538;4;3
Euterpe_oleracea;1375641501,0255;10664;151
Euterpe_precatoria;3948413873,51806;8490;574
Euxylophora_paraensis;5730805,9206435;41;11
Exellodendron_barbatum;71482771,4113596;200;29
Exellodendron_coriaceum;48495125,2155985;117;10
Exostema_maynense;1542375,04834109;4;4
Exostyles_amazonica;1143476,48917201;5;4
Faramea_anisocalyx;15346810,3794154;39;27
Faramea_axillaris;598051,840192691;1;1
Faramea_berryi;860815,888155914;1;1
Faramea_capillipes;22923713,1620736;25;19
Faramea_corymbosa;8181012,57312506;23;17
Faramea_crassifolia;7285923,87310779;17;1
Faramea_eurycarpa;71840,2095738304;1;1
Faramea_glandulosa;1538563,91983832;9;7
Faramea_guianensis;141196,845568269;1;1
Faramea_juruana;720142,599604071;2;2
Faramea_multiflora;12208102,2894277;46;18
Faramea_occidentalis;16481208,5393537;29;19
Faramea_paniculata;7118309,59073522;41;2
Faramea_parvibractea;4268713,97381653;16;4
Faramea_pedunculata;40837,2158932068;1;1
Faramea_platyneura;1716807,72836341;6;5
Faramea_polytriadophora;119445,941032348;2;2
Faramea_sessilifolia;8093735,67064596;29;8
Faramea_spathacea;195868,762428957;1;1
Faramea_stenopetala;157778,508449688;1;1
Faramea_subsessilis;419754,777693046;3;1
Faramea_tamberlikiana;6364822,4457;19;12
Faramea_torquata;21384460,0312914;39;28
Faramea_verticillata;412818,844829193;1;1
Ferdinandusa_chlorantha;68811504,246929;160;37
Ferdinandusa_dissimiliflora;1624047,56280777;3;2
Ferdinandusa_elliptica;30282626,90655;115;57
Ferdinandusa_goudotiana;23374591,8941546;31;11
Ferdinandusa_guainiae;25357516,3604809;66;16
Ferdinandusa_hirsuta;9024118,38921683;48;17
Ferdinandusa_loretensis;32982572,9715945;72;32
Ferdinandusa_paraensis;23798123,7695471;68;40
Ferdinandusa_rudgeoides;93564240,826625;259;25
Ferdinandusa_speciosa;3360915,34644735;4;4
Ferdinandusa_uaupensis;21976812,7442095;29;16
Ficus_adhatodifolia;590071,843637225;3;3
Ficus_albert-smithii;3089921,96914802;5;3
Ficus_amazonica;25268587,1369657;20;17
Ficus_americana;67841411,4429385;155;82
Ficus_aripuanensis;720285,828696555;2;2
Ficus_boliviana;5681542,02338273;10;5
Ficus_brevibracteata;560085,646279286;3;3
Ficus_broadwayi;162392,427921071;2;2
Ficus_caballina;8148450,37367523;13;7
Ficus_caldasiana;204151,212800886;1;1
Ficus_casapiensis;2290442,45359371;8;6
Ficus_castellviana;1386229,82205793;6;3
Ficus_catappifolia;2478497,41294607;10;6
Ficus_citrifolia;12244687,076674;27;18
Ficus_coerulescens;26717922,2318928;66;31
Ficus_cremersii;2233521,8365217;8;5
Ficus_crocata;7604265,0472345;19;10
Ficus_cuatrecasasiana;1669952,69050742;5;4
Ficus_davidsoniae;531629,117681831;1;1
Ficus_deltoidea;344699,511751125;1;1
Ficus_donnell-smithii;3515475,73173619;6;6
Ficus_duckeana;907048,806011213;3;3
Ficus_enormis;312740,55439641;5;1
Ficus_eximia;10147901,244609;19;9
Ficus_gomelleira;51300627,7529874;106;75
Ficus_hartwegii;108342,353559772;1;1
Ficus_hebetifolia;858435,684968204;1;1
Ficus_insipida;76059830,882348;146;54
Ficus_krukovii;3922658,81799968;5;4
Ficus_macbridei;2417243,64718933;9;7
Ficus_malacocarpa;2180392,61765412;2;2
Ficus_maroniensis;84433,8252156704;1;1
Ficus_matiziana;1630867,4494218;3;3
Ficus_maxima;221745286,248752;567;180
Ficus_membranacea;895607,799573783;2;2
Ficus_mutisii;203287,26525366;2;1
Ficus_nymphaeifolia;13523391,859114;44;30
Ficus_obtusifolia;16558643,4301818;29;18
Ficus_obtusiuscula;19545472,314174;60;4
Ficus_pakkensis;1822001,40858563;3;3
Ficus_pallida;2707692,86444699;3;3
Ficus_paraensis;33085313,2141337;77;36
Ficus_pertusa;24011130,6431435;64;29
Ficus_piresiana;9297640,72709186;25;19
Ficus_popenoei;3486973,7935716;5;5
Ficus_pulchella;447332,458571911;7;3
Ficus_schippii;709663,913555843;4;4
Ficus_sphenophylla;7172676,0901194;16;12
Ficus_subapiculata;2579765,87898834;3;3
Ficus_tonduzii;1674318,66643996;3;3
Ficus_trapezicola;388718,882794129;1;1
Ficus_trianae;4235174,09779862;15;2
Ficus_trigona;60781491,7292297;168;58
Ficus_trigonata;2981261,15295668;6;4
Ficus_ursina;1208784,88821308;3;3
Ficus_velutina;550098,191419626;1;1
Ficus_vittata;683790,088165883;1;1
Ficus_yoponensis;11762417,5939038;23;13
Ficus_ypsilophlebia;1820045,09387388;6;6
Fissicalyx_fendleri;12240412,8735301;22;9
Froesia_crassiflora;355768,095712708;1;1
Froesia_diffusa;3906559,37008576;9;7
Froesia_gereauana;2175337,27846741;2;2
Froesiodendron_amazonicum;738400,736294623;2;1
Fusaea_longifolia;149337158,300265;532;233
Fusaea_peruviana;12243369,3404325;24;13
Fusispermum_laxiflorum;1045541,73208852;2;1
Fusispermum_rubrolignosum;1324558,58333868;5;1
Galipea_ciliata;1310055,02092211;6;1
Galipea_congestiflora;7620101,02144644;12;3
Galipea_davisii;9488204,64696446;16;3
Galipea_jasminiflora;34727377,201391;32;8
Galipea_trifoliata;78989302,9407075;161;34
Gallesia_integrifolia;137156279,623315;207;46
Garcinia_albuquerquei;1191671,05778076;1;1
Garcinia_benthamiana;52677608,7175947;207;63
Garcinia_brasiliensis;63377481,5607937;198;55
Garcinia_gardneriana;46113557,4802455;92;48
Garcinia_intermedia;1649806,2600769;7;3
Garcinia_longifolia;2386789,34355749;5;4
Garcinia_macrophylla;408851736,800853;848;278
Garcinia_madruno;251505272,077152;501;241
Gaulettia_canomensis;26505065,8756563;215;55
Gaulettia_cognata;3170453,34607853;9;4
Gaulettia_elata;27977958,7922067;65;42
Gaulettia_parillo;52255621,8990824;151;37
Gaulettia_racemosa;35564816,0358833;69;25
Geissanthus_ambigua;34021881,5630672;54;14
Geissospermum_argenteum;121099763,395718;431;89
Geissospermum_laeve;88335443,842527;566;72
Geissospermum_reticulatum;25928937,1571699;40;17
Geissospermum_sericeum;410468259,535556;5912;190
Geissospermum_urceolatum;42846165,498742;70;46
Genipa_americana;115957247,084339;259;91
Genipa_spruceana;8377174,40432896;26;13
Geoffroea_spinosa;12738825,5551756;50;1
Geonoma_baculifera;2851098,49011788;8;3
Glandonia_macrocarpa;38338737,6416936;57;17
Glandonia_williamsii;28023115,212129;45;10
Gloeospermum_equatoriense;6103339,86589837;19;8
Gloeospermum_longifolium;4275041,08566201;8;4
Gloeospermum_sclerophyllum;877917,65414577;1;1
Gloeospermum_sphaerocarpum;7937906,06584319;20;14
Glycydendron_amazonicum;221605774,44194;571;253
Goupia_glabra;888494062,11085;3194;595
Graffenrieda_colombiana;202679,10556595;2;1
Graffenrieda_intermedia;17462414,8916777;19;2
Graffenrieda_limbata;888221,974462673;3;2
Graffenrieda_miconioides;1983398,64648512;2;2
Graffenrieda_rupestris;605880,627179584;1;1
Grias_neuberthii;91068084,5814601;349;47
Grias_peruviana;15980035,3762162;41;9
Guapira_boliviana;884354,859812668;5;1
Guapira_costaricana;4080093,36935872;7;3
Guapira_cuspidata;4311712,05877852;11;4
Guapira_eggersiana;5509660,87374998;56;22
Guapira_ferruginea;3375572,00156785;4;2
Guapira_glabriflora;1588868,55074722;4;2
Guapira_graciliflora;962282,828568094;10;2
Guapira_guianensis;4128270,27828834;5;3
Guapira_hirsuta;1773150,15810194;94;8
Guapira_myrtiflora;1357579,94966346;2;1
Guapira_noxia;9588525,25660433;61;13
Guapira_opposita;19826923,5709453;31;14
Guapira_salicifolia;2505834,22402894;11;2
Guapira_sancarlosiana;3130675,58473745;6;2
Guapira_tomentosa;8067093,31571608;15;12
Guapira_venosa;115566116,098045;468;61
Guarea_carapoides;4728106,21234475;10;3
Guarea_carinata;159216795,652001;442;125
Guarea_caulobotrys;3440649,84209289;8;5
Guarea_cinnamomea;52951258,3436101;136;63
Guarea_convergens;126427813,004432;185;60
Guarea_costata;110301,35625703;1;1
Guarea_crispa;1458092,14979907;2;2
Guarea_cristata;14119399,3733765;30;16
Guarea_ecuadoriensis;16090059,1753092;39;26
Guarea_fissicalyx;2687717,07922507;11;6
Guarea_fistulosa;317356,468920047;3;2
Guarea_glabra;15203282,5248649;40;27
Guarea_gomma;148571395,554796;426;134
Guarea_grandifolia;86959146,3148151;449;112
Guarea_guentheri;7783458,57537603;32;15
Guarea_guidonia;579740653,530308;1269;246
Guarea_humaitensis;41201343,410541;150;62
Guarea_juglandiformis;1555850,80687909;6;3
Guarea_kunthiana;718049766,816749;1458;295
Guarea_macrophylla;552024957,304531;1382;209
Guarea_pterorhachis;93523428,1652811;321;84
Guarea_pubescens;120406243,397169;317;120
Guarea_purusana;94072594,1641161;162;60
Guarea_scabra;46271990,3302993;124;47
Guarea_silvatica;416922787,421726;680;190
Guarea_subsessilifolia;1783436,40008106;35;3
Guarea_trunciflora;71205633,2592707;181;93
Guarea_velutina;3034871,62665187;11;7
Guatteria_alata;7930568,42604419;24;4
Guatteria_anteridifera;3834031,33232739;19;4
Guatteria_atabapensis;9030705,55973631;14;8
Guatteria_blepharophylla;68127261,6847258;211;38
Guatteria_campestris;190803,37427969;1;1
Guatteria_cargadero;2064638,66274356;12;4
Guatteria_citriodora;54983434,444116;98;72
Guatteria_conspicua;708868,074477691;8;3
Guatteria_crassipes;2285097,05695033;3;1
Guatteria_cryandra;7725420,20713692;25;2
Guatteria_decurrens;42055447,2786495;64;34
Guatteria_discolor;213547885,228895;481;121
