species;population;N.ind;N.plots
Siparuna_decipiens;404507982,986295;1034;257
Mezilaurus_itauba;404375072,627751;609;163
Celtis_schippii;403047713,993611;928;137
Osteophloeum_platyspermum;399857433,361793;745;278
Quararibea_wittii;398799624,352797;1199;77
Simarouba_amara;398499986,484774;690;321
Pouteria_cuspidata;397510026,580225;711;252
Ocotea_aciphylla;396975910,619073;598;144
Handroanthus_barbatus;395739306,978318;355;26
Pouteria_caimito;387263858,665838;743;237
Protium_trifoliolatum;384905564,139912;669;181
Pouteria_reticulata;378563421,123892;819;283
Spondias_mombin;374529747,13283;829;195
Inga_thibaudiana;371105650,699786;879;241
Hirtella_racemosa;369463437,049849;829;106
Calophyllum_brasiliense;367543571,241508;600;146
Aparisthmium_cordatum;364033305,746601;537;119
Luehea_cymulosa;363697154,898032;686;59
Inga_capitata;361413677,411316;591;173
Sagotia_racemosa;361013122,636283;869;87
Attalea_phalerata;361007693,882751;545;50
Zygia_racemosa;360839506,972361;882;256
Mabea_nitida;359438817,850332;445;52
Laetia_procera;357841672,37019;1017;276
Couepia_guianensis;357800629,026534;916;197
Bocageopsis_multiflora;357747319,346482;707;182
Virola_sebifera;353422544,73353;696;205
Iryanthera_ulei;352271037,685235;427;80
Laetia_corymbulosa;350969417,235933;835;24
Guarea_guidonia;350394174,120411;570;131
Caryocar_glabrum;348195144,025201;633;316
Licania_densiflora;344735261,333737;720;52
Xylopia_amazonica;344685658,745764;508;71
Brosimum_utile;341458038,563892;528;212
Conceveiba_guianensis;337632175,3575;758;326
Astrocaryum_aculeatum;334286982,45293;375;59
Vouacapoua_americana;333874653,185655;1153;127
Pterocarpus_amazonum;333415378,431892;467;83
Eperua_grandiflora;329958519,720228;1625;52
Unonopsis_guatterioides;329243278,284785;467;106
Protium_aracouchini;329014432,553865;522;151
Cecropia_latiloba;326899505,757295;633;43
Miconia_pyrifolia;322611799,142142;515;69
Qualea_paraensis;318740634,151674;614;144
Pourouma_bicolor;318616057,850998;689;192
Eschweilera_amazonica;317845071,676625;719;94
Garcinia_macrophylla;312562248,725182;502;157
Erisma_uncinatum;310917276,807181;594;120
Protium_pilosissimum;309739852,415687;546;38
Cenostigma_tocantinum;307927920,706547;382;17
Eschweilera_decolorans;305559163,125423;931;95
Himatanthus_sucuuba;304615593,298941;414;145
Cupania_scrobiculata;304109629,532876;558;147
Sloanea_eichleri;304092498,811179;559;97
Trichilia_micrantha;301250656,427673;506;182
Triplaris_weigeltiana;300752762,943196;494;48
Aldina_heterophylla;298757223,782241;486;31
Drypetes_amazonica;297073007,185263;676;116
Inga_lateriflora;296917710,759785;176;44
Caraipa_densifolia;296004671,057814;441;56
Leonia_crassa;295513618,730667;550;66
Ocotea_leucoxylon;293254592,378326;422;56
Swartzia_polyphylla;292507208,848265;642;211
Malouetia_tamaquarina;290464393,834372;327;47
Diplotropis_purpurea;289209299,72143;439;192
Hura_crepitans;289134314,589378;529;78
Vatairea_guianensis;287157299,028546;442;113
Pouteria_cladantha;286191370,225385;620;210
Inga_rubiginosa;283866567,019805;509;181
Rinorea_riana;283668594,698741;589;68
Taralea_oppositifolia;281397826,971489;347;74
Manicaria_saccifera;281346684,831867;663;14
Tachigali_chrysophylla;280818653,409466;411;102
Pterocarpus_santalinoides;280700637,357683;551;61
Iryanthera_tricornis;276794366,081893;361;70
Macrolobium_acaciifolium;275644943,308084;403;69
Lecythis_retusa;275490251,674309;125;22
Pourouma_cecropiifolia;274279483,44072;682;156
Mollia_gracilis;273180975,928232;335;22
Trichilia_pleeana;272239610,106389;601;105
Astrocaryum_jauari;271237565,462526;337;36
Quararibea_guianensis;271051861,576999;960;53
Mabea_piriri;269523244,949724;786;128
Zygia_cataractae;269009223,792415;335;26
Chrysophyllum_prieurii;268629941,758186;485;165
Pseudopiptadenia_suaveolens;264262902,468233;507;201
Apeiba_tibourbou;261917749,60563;195;80
Protium_amazonicum;261248468,039795;548;173
Pouteria_macrophylla;259981441,45105;463;141
Drypetes_variabilis;259579673,713652;657;197
Pouteria_torta;258340157,686739;642;199
Protium_paniculatum;257919101,446121;577;152
Protium_altsonii;257022791,078255;547;149
Astronium_lecointei;256990860,305422;222;113
Cynometra_marginata;256060366,68458;307;29
Cedrelinga_cateniformis;255567029,594893;401;119
Hevea_spruceana;254585576,00923;247;28
Protium_subserratum;253612596,881584;430;170
Mauritiella_armata;253494043,986518;534;13
Couepia_paraensis;252490238,918931;261;29
Licania_canescens;252341592,193353;662;181
Ocotea_leptobotra;252191780,502485;315;90
Ocotea_guianensis;250769664,497837;402;48
Licania_alba;250320333,269849;1072;106
Mauritiella_aculeata;250282897,079566;418;23
Bertholletia_excelsa;249410475,214858;314;97
Macrolobium_limbatum;247923205,536309;367;127
Cecropia_membranacea;246827975,792099;362;68
Nealchornea_yapurensis;246671588,479844;309;81
Abarema_jupunba;246668635,368274;549;241
Micrandra_elata;245918054,372579;684;21
Dendrobangia_boliviana;245504161,842042;892;201
Apeiba_glabra;245441686,464534;604;178
Castilla_ulei;242065259,541308;308;113
Naucleopsis_caloneura;241913504,968295;516;126
Chlorocardium_rodiei;240904742,673097;953;29
Pourouma_mollis;240217913,407712;845;129
Pouteria_procera;239099739,687206;457;125
Inga_edulis;238986681,032144;436;104
Micrandra_siphonioides;238930935,782056;383;41
Micropholis_egensis;238688069,836327;474;165
Iryanthera_lancifolia;237160959,169771;628;113
Inga_marginata;236511284,70178;456;142
Mollia_lepidota;235691889,168649;330;35
Vochysia_vismiifolia;235147815,520014;263;50
Acosmium_cardenasii;233499834,986098;399;13
Pourouma_ovata;231882955,351306;316;93
Leopoldinia_piassaba;231655432,338915;265;7
Hevea_nitida;231058151,287293;346;36
Ampelocera_edentula;231041265,487007;396;209
Campsiandra_laurifolia;230500465,300205;303;28
Dicymbe_uaiparuensis;229099680,57258;491;8
Helicostylis_scabra;228813705,50738;347;140
Heterostemon_mimosoides;228137408,707423;409;21
Miconia_punctata;226870166,710734;329;117
Toulicia_guianensis;226788559,928791;376;74
Apeiba_petoumo;226416145,603058;578;169
Protium_nodulosum;226029656,121307;413;104
Tachigali_poeppigiana;224404636,658218;487;55
Cordia_bicolor;224106187,871689;374;104
Eschweilera_punctata;223894998,732001;303;26
Protium_unifoliolatum;222460518,178115;418;40
Trattinnickia_glaziovii;221703304,088184;341;66
Endopleura_uchi;221536129,137076;357;124
Mora_excelsa;221256271,986609;608;16
Protium_spruceanum;221159162,746201;489;152
Sloanea_guianensis;220644916,038877;421;178
Anadenanthera_colubrina;220582875,658517;353;20
Iryanthera_sagotiana;220427042,709632;998;126
Crateva_tapia;220109756,25923;506;29
Terminalia_amazonia;219161068,319455;432;145
Protium_opacum;218824576,209042;568;161
Tachigali_rugosa;216053217,346957;416;37
Sapium_glandulosum;215724835,052732;408;131
Guapira_venosa;215471163,938047;318;27
Coccoloba_densifrons;214276885,885603;444;111
Matisia_ochrocalyx;213600072,581858;453;103
Enterolobium_schomburgkii;212810848,699169;424;154
Handroanthus_serratifolius;212807512,267241;336;154
Sloanea_floribunda;211376067,484668;328;157
Poraqueiba_guianensis;210467125,694289;910;134
Zygia_cauliflora;209570569,804455;271;24
Alchornea_discolor;209489299,956423;353;83
Lecythis_prancei;209457698,566833;409;115
Eschweilera_ovalifolia;209418885,260944;267;42
Peltogyne_paniculata;208272283,966265;312;114
Ouratea_discophora;208041743,284497;363;63
Myrcia_multiflora;207852626,735813;263;37
Urera_caracasana;207441007,360923;324;48
Thyrsodium_spruceanum;207358570,545111;394;167
Maquira_guianensis;207064534,278868;481;223
Pseudolmedia_rigida;206399823,277405;530;52
Paramachaerium_ormosioides;205400610,554988;353;48
Oxandra_mediocris;204424280,943749;429;70
Pourouma_tomentosa;201865634,630392;417;171
Anaueria_brasiliensis;200727416,318563;148;28
Sapium_marmieri;200508285,995573;446;131
Apeiba_membranacea;200129340,791264;570;135
Iryanthera_hostmannii;199967361,425194;386;103
Schefflera_morototoni;199436718,851339;360;195
Iryanthera_elliptica;199382030,208925;323;99
Mabea_subsessilis;198731338,916642;141;26
Parkia_multijuga;197999849,618587;330;152
Mouriri_apiranga;197117695,371769;258;44
Protium_rhoifolium;196038750,476991;285;111
Chrysophyllum_argenteum;195154694,629537;382;149
Sarcaulus_brasiliensis;194864022,832778;597;165
Dicorynia_guianensis;194705146,442933;1114;100
Trichilia_septentrionalis;194227483,776531;458;172
Glycydendron_amazonicum;193371735,757737;297;174
Lecythis_lurida;192733607,617964;248;52
Hieronyma_alchorneoides;192380977,926144;445;117
Sacoglottis_mattogrossensis;191454087,44392;479;73
Piranhea_trifoliata;191112377,586329;204;24
Manilkara_elata;190625738,152186;418;127
Otoba_glycycarpa;189397404,59309;613;61
Alexa_grandiflora;189043750,345522;250;18
Sterculia_excelsa;188047444,535549;397;145
Trymatococcus_amazonicus;187782159,875747;330;154
Alchornea_triplinervia;187184095,12916;264;64
Garcinia_madruno;186989796,502167;309;153
Pseudoxandra_polyphleba;186985463,836401;240;46
Peltogyne_catingae;186103771,174134;131;38
Caraipa_utilis;184899497,739083;256;6
Duguetia_spixiana;184591755,84704;443;68
Eschweilera_andina;184560283,638603;304;59
Hymenopus_oblongifolius;183860063,267451;410;93
Tapura_juruana;183242365,52447;297;90
Unonopsis_floribunda;183190162,258164;526;94
Hymenaea_courbaril;182975458,366148;283;136
Iryanthera_macrophylla;182684682,814256;323;65
Cordia_exaltata;182329670,683129;388;129
Licania_kunthiana;181858843,91851;309;75
Ocotea_cinerea;180956646,154819;370;90
Myrcia_amazonica;179360607,348298;315;42
Perebea_mollis;179299875,360797;216;101
Euterpe_catinga;178808305,521633;255;8
Roucheria_columbiana;178717301,986904;363;126
Andira_fraxinifolia;178412820,794394;46;3
Henriquezia_nitida;177848667,887932;169;6
Poulsenia_armata;177726861,409911;421;57
Alexa_imperatricis;177643669,921001;399;18
Vitex_cymosa;177132787,991498;359;30
Tachigali_glauca;176931921,907316;334;109
Pausandra_trianae;176062894,13821;541;57
Discocarpus_essequeboensis;175838207,06701;223;14
Eschweilera_itayensis;175115089,45383;275;51
Casearia_javitensis;175107623,182744;464;207
Trattinnickia_rhoifolia;174536503,726168;241;102
Inga_nobilis;174103960,602962;447;128
Ormosia_paraensis;173807780,2859;227;100
Astronium_graveolens;173686819,362727;218;78
Casearia_gossypiosperma;172779790,006135;350;49
Caraipa_punctulata;172720288,090545;199;29
Lacistema_aggregatum;172651376,498325;328;145
Ocotea_aurantiodora;172475053,602516;311;93
Protium_goudotianum;172311579,754609;237;63
Micrandra_glabra;171845411,641429;372;3
Brosimum_acutifolium;171744789,600293;253;138
Eperua_glabriflora;171413282,856389;490;100
Licania_membranacea;170067278,553951;686;114
Cecropia_distachya;169746483,724447;360;116
Matisia_lasiocalyx;169746471,905541;247;29
Chaetocarpus_schomburgkianus;169172320,361243;539;89
Zygia_latifolia;169088507,602658;603;68
Mouriri_grandiflora;168960834,066432;308;62
Tapura_amazonica;168425333,647225;443;161
Neea_floribunda;168297951,654759;290;75
Rinorea_viridifolia;167571982,606643;505;56
Matayba_inelegans;167425966,12086;164;45
