species;population;N.ind;N.plots
Urera caracasana;225869493,884105;400;60
Duroia velutina;123291447,547304;480;11
Eschweilera parviflora;507785492,892665;1859;134
Guarea convergens;118477643,185765;185;60
Patinoa paraensis;70256652,7485093;710;48
Eschweilera decolorans;309687918,791633;1484;130
Leonia glycycarpa;981082680,789701;2705;472
Jacaranda copaia;717521733,864965;2509;612
Mollia gracilis;129694127,954866;399;46
Varronia multispicata;25211022,6424463;58;7
Protium unifoliolatum;246720520,294148;763;110
Cenostigma macrophyllum;98968206,2524347;310;3
Poulsenia armata;214810614,066282;519;68
Phyllostylon rhamnoides;14843772,014765;159;3
Guazuma ulmifolia;239645105,768382;622;143
Helicostylis tomentosa;1173241102,15796;2391;622
Attalea butyracea;836722683,673916;2020;89
Licania buxifolia;189484854,531418;976;24
Cynometra marginata;267260795,049071;543;49
Alchornea discolor;312218166,736779;706;155
Macrolobium angustifolium;436690461,642631;1417;179
Zygia glomerata;20504207,2632165;55;5
Chrysophyllum sanguinolentum;755576452,052241;2185;390
Tovomita umbellata;289154370,414099;244;52
Sacoglottis mattogrossensis;262873212,504488;558;97
Guarea macrophylla;530877771,102337;1454;222
Ocotea glomerata;196608948,559779;702;93
Swartzia leiocalycina;149581201,767122;624;26
Croton tricolor;39830893,5076262;219;6
Brosimum lactescens;1460146901,02683;3168;465
Senegalia polyphylla;227342024,448504;370;75
Lecythis idatimon;577962794,457948;3218;142
Pterocarpus amazonum;578393072,532149;1029;155
Guarea guidonia;532085906,350876;1272;247
Siphoneugena occidentalis;106797013,845402;222;3
Gaulettia parillo;41596070,1251615;153;38
Zygia cauliflora;147328628,825387;684;70
Dimorphandra conjugata;18472388,9908146;52;1
Attalea maripa;833458821,454063;1821;305
Maburea trinervis;77179285,1239722;465;7
Tapura acreana;242642617,899706;359;44
Mabea nitida;380325390,238991;901;88
Caraipa tereticaulis;66193343,8932248;127;9
Anadenanthera colubrina;214532442,651712;382;25
Eschweilera albiflora;917840810,806625;1414;153
Chlorocardium rodiei;237177193,707162;1030;31
Cecropia distachya;217717065,020752;611;163
Gustavia hexapetala;500506495,584283;1730;308
Mabea trianae;52119182,3029716;266;3
Elvasia quinqueloba;52645243,0674637;304;5
Catostemma altsonii;27904126,4088144;188;3
Combretum leprosum;112862753,892791;225;8
Eperua purpurea;547507638,36904;800;31
Macrolobium acaciifolium;450155519,775604;1153;177
Theobroma microcarpum;116863659,370449;302;52
Amphiodon effusus;546132581,37794;1531;136
Oenocarpus distichus;193760859,693014;316;91
Mouriri acutiflora;103225692,271347;573;82
Eschweilera atropetiolata;485472612,083461;2204;257
Eschweilera collina;218674267,03217;975;166
Licania laxiflora;128663311,771428;601;86
Dicorynia guianensis;201938446,471872;1362;123
Lueheopsis rosea;331012669,534448;564;185
Metrodorea flavida;897104033,032706;1568;133
Quararibea duckei;101826493,193886;421;16
Sagotia racemosa;489797232,924837;1271;136
Pradosia schomburgkiana;131328579,491573;688;47
Ouratea discophora;299721563,984212;578;101
Licania leptostachya;80045015,0571621;454;16
Qualea paraensis;549670587,159876;1167;245
Erisma calcaratum;177860473,890348;404;42
Bribria apiculata;91343163,9562415;615;20
Inga edulis;294051869,568878;766;185
Duguetia marcgraviana;133411030,972813;278;35
Anaxagorea brevipes;83070648,5814991;243;51
Clathrotropis macrocarpa;919805966,232952;1910;93
Xylopia sericea;127729372,752694;278;57
Sacoglottis ceratocarpa;76988987,6141222;158;42
Euterpe catinga;198579599,757761;287;12
Carapa guianensis;797317551,781221;3868;368
Myrciaria dubia;84573373,0607862;299;21
Cupania scrobiculata;351845928,648458;920;232
Cecropia sciadophylla;607026864,202843;2169;428
Diospyros guianensis;182127827,823526;816;114
Couepia guianensis;387062574,116919;1399;297
Physocalymma scaberrimum;161208302,737983;371;41
Ruizterania albiflora;127045074,843881;797;157
Mabea fistulifera;49099142,4990015;184;31
Tachigali poeppigiana;220296524,274015;592;88
Talisia sylvatica;40378609,408427;129;15
Hirtella gracilipes;79034917,3182747;221;15
Calophyllum brasiliense;438426279,41279;1207;256
Caraipa grandifolia;345485893,514743;652;119
Persea caerulea;41985344,9929145;114;5
Poincianella pluviosa;164465995,759927;274;6
Panopsis rubescens;103081377,987827;389;46
Symphonia globulifera;720574971,3493;2749;587
Annona densicoma;59378976,5728136;178;16
Casearia arborea;260281836,967907;671;163
Duroia duckei;93752676,0448606;201;34
Myracrodruon urundeuva;41328252,0873066;105;7
Macrolobium guianense;11241062,6397033;126;4
Tabebuia fluviatilis;39423231,0892737;281;7
Iryanthera sagotiana;203846230,771895;1316;171
Manilkara bidentata;628228965,835291;2442;461
Duguetia spixiana;180751252,416539;546;91
Oxandra mediocris;234125565,408016;561;91
Aldina heterophylla;333592886,243496;990;56
Maquira coriacea;474872222,44021;941;131
Vochysia revoluta;71594161,7070919;140;6
Micropholis humboldtiana;45170999,681573;193;7
Myrcia amazonica;151829408,465669;360;66
Oxandra asbeckii;142564371,224052;1001;97
Virola calophylla;1025897025,59887;3108;563
