species;population;N.ind;N.plots
Allantoma lineata;85651712,21051;156;31
Allophylus amazonicus;24260152,7619404;45;20
Allophylus angustatus;2002331,93551275;7;7
Allophylus divaricatus;8643311,24252256;23;18
Allophylus edulis;1177019,24356235;2;1
Allophylus floribundus;16365996,9325983;36;26
Allophylus glabratus;5947597,58699261;15;11
Allophylus incanus;523441,070093632;1;1
Allophylus latifolius;31394567,6604029;16;13
Allophylus leptostachys;1906067,63101918;1;1
Allophylus loretensis;16983321,9982535;23;8
Allophylus mollis;1746118,64176596;2;2
Allophylus pauciflorus;1915594,40537082;1;1
Allophylus pilosus;9616752,59613493;17;12
Allophylus psilospermus;1313925,01985527;1;1
Allophylus punctatus;18629817,9426638;41;19
Allophylus racemosus;1906067,63101918;1;1
Allophylus robustus;710769,468386454;2;2
Allophylus scrobiculatus;68934093,4923197;156;17
Alseis blackiana;10985480,3290578;31;9
Alseis eggersii;1672243,61406843;2;2
Alseis floribunda;50681050,0001491;25;4
Alseis labatioides;58473627,2133202;70;19
Alseis longifolia;38808186,1244233;14;3
Alseis lugonis;9567810,85522842;27;16
Alseis microcarpa;15741582,6002376;29;9
Alseis peruviana;7307107,26487687;2;1
Alseis pickelii;1506116,26919185;1;1
Amaioua corymbosa;211740368,146875;332;70
Amaioua guianensis;632351751,520354;1304;166
Amanoa congesta;1259555,84511079;8;4
Amanoa gracillima;70856705,0348838;71;3
Amanoa guianensis;35534795,6304197;44;28
Amanoa nanayensis;4533250,18557127;6;3
Amanoa neglecta;158170,56888403;1;1
Amanoa oblongifolia;136764556,336587;114;17
Ambelania acida;95582173,5830861;287;152
Ambelania duckei;8652697,58486745;14;13
Ambelania occidentalis;3497592,62288561;4;3
Amburana cearensis;46071220,3489666;50;13
Amerimnon spinosum;1811225,79966886;1;1
Amorphospermum pruniferum;641191,831328135;1;1
Ampelocera edentula;291064081,807032;372;199
Ampelocera longissima;3964822,50925862;14;10
Ampelocera ruizii;138193491,428395;127;39
Ampelozizyphus amazonicus;1357193,24570129;1;1
Amphirrhox latifolia;18258327,6550214;16;6
Amphirrhox longifolia;108817861,44894;133;55
Amphirrhox surinamensis;53778343,7916313;40;11
Amyris macrocarpa;2335608,76179011;4;4
Anacardium amapaense;1066905,13312709;2;1
Anacardium excelsum;12594353,767952;4;2
Anacardium giganteum;199778630,492681;207;103
Anacardium microsepalum;2735785,6172184;4;3
Anacardium occidentale;3887501,29178225;5;4
Anacardium parvifolium;51741077,925532;66;43
Anacardium spruceanum;57987674,7466092;130;89
Anacardium tenuifolium;9812363,3997122;9;4
Anadenanthera colubrina;360399282,511036;326;11
Anadenanthera macrocarpa;134909594,599216;28;9
Anadenanthera peregrina;11491026,6345925;5;3
Anaueria brasiliensis;236215275,62559;143;28
Anaxagorea acuminata;34822045,2076936;70;29
Anaxagorea angustifolia;11801734,569916;8;1
Anaxagorea brachycarpa;6951446,08365073;3;2
Anaxagorea brevipes;177009930,766811;204;30
Anaxagorea dolichocarpa;207070979,388465;193;35
Anaxagorea phaeocarpa;6105784,64994727;14;8
Anaxagorea rufa;4186691,63400505;2;2
Andira cordata;30134571,0277914;52;2
Andira coriacea;8062850,01774283;67;20
Andira cujabensis;345417,24903293;1;1
Andira fraxinifolia;243795489,827417;45;2
Andira inermis;81532339,4107576;129;74
Andira macrocarpa;3038718,53788005;9;6
Andira macrothyrsa;7716533,28381191;21;10
Andira micans;1355341,84055505;1;1
Andira micrantha;83563992,731168;148;78
Andira multistipula;15767596,86638;22;13
Andira parviflora;19182435,4405329;34;27
Andira surinamensis;61355494,8010099;85;40
Andira trifoliolata;22479512,6670656;29;21
Andira unifoliolata;158581716,295415;180;85
Andira vermifuga;1254339,60272355;3;1
Angostura longiflora;5950430,90127724;6;2
Angostura silvestris;4311580,75750089;4;1
Aniba affinis;3061128,87061562;2;2
Aniba bracteata;2080462,30472649;1;1
Aniba burchellii;72595676,9811301;85;36
Aniba canelilla;111571535,414418;177;93
Aniba citrifolia;99698883,100606;117;46
Aniba coto;1560519,86182137;2;2
Aniba cylindriflora;31402609,2703481;37;12
Aniba excelsa;13742666,3772941;33;12
Aniba ferrea;13136155,2837425;19;13
Aniba firmula;24500870,9297376;62;34
Aniba guianensis;67649006,6471854;108;53
Aniba hostmanniana;53411832,5534449;114;72
Aniba hypoglauca;22107964,0702404;47;17
Aniba jenmanii;1951035,08440332;8;5
Aniba kappleri;54934185,2739089;62;27
Aniba megaphylla;9453853,49210752;10;7
Aniba panurensis;68850670,3710588;87;42
Aniba parviflora;50921568,1372233;96;52
Aniba permollis;10562861,5612589;6;3
Aniba perutilis;3569238,13625068;4;3
Aniba puchury-minor;37660828,4942752;49;23
Aniba riparia;39500967,0164845;52;27
Aniba rosaeodora;28519401,1740589;33;19
Aniba santalodora;1027667,72158532;2;1
Aniba taubertiana;28809542,8819081;55;35
Aniba terminalis;20556561,6978726;44;31
Aniba vaupesiana;1651719,87661895;1;1
Aniba williamsii;81543648,7763456;81;53
Anisophyllea guianensis;94131000,1140833;140;15
Anisophyllea manausensis;24164840,5634256;70;40
Annona amazonica;5249497,87401425;9;7
Annona ambotay;34155825,2014061;60;37
Annona centrantha;1035350,70852994;2;2
Annona cherimolioides;27488144,6337189;23;12
Annona coriacea;690834,498065859;2;1
