"","Estimate 2013","Std. Error 2013","Estimate 2013t","Std. Error 2013t","Estimate 2019","Std. Error 2019"
"size",0.0182356622948211,0.00831955937394374,0.0495144054425341,0.00887297309348437,0.0444788129616682,0.0077041964148441
"mu",12.5448694265109,5.35554177258238,32.868604213482,5.01381559890561,52.6485333697436,7.82393033756825
"alpha",751.32329198626,29.7719786118216,677.919479044862,28.2491965603977,692.930968492377,28.358321048067
"mu",2.26783476657072,0.0554613131707465,2.52858909170323,0.0513083815371117,2.8092397513367,0.0504466871334431
"sig",2.41562478833103,0.0400358003304053,2.32714562295504,0.0384111839833225,2.47583547650499,0.0380381472672162
